trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,bias_ema,rvol,or_width,stop_arm,exit_arm
1,US100.cash,long,1635342340,1635355540,15647.29,15574.3,15720.27,1.37,tp_hit,99.98,0.0,0.0,99.98,0.9998629949307846,15110.541377833282,1.0298972282777952,66.35000000000036,0,0
2,US100.cash,long,1635428800,1635435880,15707.48,15651.65,15763.3,1.8,tp_hit,100.48,0.0,0.0,100.48,0.999820884828941,15129.841715957467,1.0784802242292122,50.75,0,0
3,US100.cash,long,1637079100,1637096400,16269.4,16156.65,16382.15,0.9,forced_eod,37.71,0.0,0.0,37.71,0.3716186252771586,15528.781104476724,1.0331481126652615,102.5,0,0
4,US100.cash,long,1637246800,1637248240,16409.88,16357.35,16462.4,1.94,sl_hit,-101.91,0.0,0.0,-101.91,-1.0,15588.943495520423,1.0136669874879691,47.74999999999818,0,0
5,US100.cash,long,1637333140,1637339860,16574.63,16522.65,16626.6,1.95,tp_hit,101.34,0.0,0.0,101.34,0.9998076183146972,15624.733946676486,1.0279114533205005,47.25,0,0
6,US100.cash,long,1637592580,1637598160,16729.45,16648.05,16810.85,1.25,sl_hit,-101.75,0.0,0.0,-101.75,-1.0,15662.867909551918,1.03659704924315,74.0,0,0
7,US100.cash,long,1637678800,1637680180,16398.93,16295.8,16502.05,0.98,sl_hit,-101.07,0.0,0.0,-101.07,-1.0,15691.592697412627,1.0738484963837076,93.75,0,0
8,US100.cash,long,1637766100,1637770960,16228.28,16127.35,16329.2,0.99,tp_hit,99.91,0.0,0.0,99.91,0.9999009214306924,15715.689062219975,1.1039034508768621,91.75,0,0
9,US100.cash,long,1638197800,1638205420,16301.19,16224.85,16377.53,1.32,tp_hit,100.77,0.0,0.0,100.77,1.0,15778.717245562551,1.076407007081625,69.39999999999964,0,0
10,US100.cash,long,1638283540,1638284480,16389.83,16332.9,16446.75,1.79,tp_hit,101.89,0.0,0.0,101.89,0.9998243456876189,15804.085196716962,1.0834886321282147,51.75000000000182,0,0
11,US100.cash,long,1638370960,1638381340,16374.45,16284.25,16464.65,1.1400000000000001,sl_hit,-102.83,0.0,0.0,-102.83,-1.0,15821.342639982964,1.0372717107715244,82.0,0,0
