trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,bias_ema,rvol,or_width,stop_arm,exit_arm
1,US30.cash,long,1635429500,1635435000,35684.69,35574.3,0.0,0.9,ema_cross,-31.9,0.0,0.0,-31.9,-0.32104357278741297,34938.025248323036,1.0715780661364587,100.34999999999854,0,3
2,US30.cash,long,1637073940,1637076600,36247.14,36149.4,0.0,1.01,ema_cross,-55.24,0.0,0.0,-55.24,-0.5595457335789182,35405.30451594694,1.0595950955232392,88.84999999999854,0,3
3,US30.cash,long,1637592520,1637600400,35814.73,35699.45,0.0,0.85,ema_cross,2.14,0.0,0.0,2.14,0.021859819569714303,35476.75016995585,1.1314878892733564,104.80000000000291,0,3
4,US30.cash,long,1637678920,1637680500,35722.65,35546.65,0.0,0.56,ema_cross,-42.0,0.0,0.0,-42.0,-0.42613636363636365,35483.007026036015,1.10161335975092,160.0,0,3
5,US30.cash,long,1637769640,1637773200,35749.85,35593.65,0.0,0.63,ema_cross,-18.02,0.0,0.0,-18.02,-0.18309859154928987,35495.685181877736,1.220636663007684,142.0,0,3
6,US30.cash,short,1638283720,1638283720,34801.62,34986.25,0.0,0.53,ema_cross,5.76,0.0,0.0,5.76,0.05887450576830837,35477.1126031398,1.2602523659305993,167.84999999999854,0,3
7,US30.cash,short,1638543040,1638545400,34627.7,34811.45,0.0,0.53,ema_cross,-5.33,0.0,0.0,-5.33,-0.054693877551036246,35359.79957366922,1.1482194417709335,167.04999999999563,0,3
8,US30.cash,short,1640097980,1640097980,35222.59,35351.45,0.0,0.76,ema_cross,12.34,0.0,0.0,12.34,0.1260282477106774,35448.147429931785,1.0533490011750881,117.14999999999418,0,3
9,US30.cash,long,1641307700,1641312900,36824.17,36739.3,0.0,1.16,ema_cross,20.04,0.0,0.0,20.04,0.20360551431601018,35686.5219505484,1.0483706720977597,77.14999999999418,0,3
10,US30.cash,long,1641396100,1641406500,36860.07,36776.3,0.0,1.18,ema_cross,1.63,0.0,0.0,1.63,0.016473677927628428,35729.689717193556,1.164969450101833,76.14999999999418,0,3
11,US30.cash,long,1641567200,1641568500,36252.17,36134.25,0.0,0.83,ema_cross,-33.63,0.0,0.0,-33.63,-0.34362279511531035,35777.539796609664,1.2243975903614457,107.19999999999709,0,3
12,US30.cash,long,1642171760,1642171760,35882.48,35695.15,0.0,0.52,ema_cross,2.06,0.0,0.0,2.06,0.02119254791007234,35851.42688034484,1.2398009950248756,170.29999999999563,0,3
13,US30.cash,short,1642605200,1642605200,35387.57,35540.25,0.0,0.64,ema_cross,-0.63,0.0,0.0,-0.63,-0.006418653392737749,35842.20837721306,1.0516884906960717,138.8000000000029,0,3
14,US30.cash,short,1642777300,1642777300,34588.85,34771.45,0.0,0.53,ema_cross,1.33,0.0,0.0,1.33,0.013691128148959583,35761.80019749657,1.1279373368146215,166.0,0,3
15,US30.cash,short,1643035660,1643039100,33719.25,33930.45,0.0,0.46,ema_cross,-53.5,0.0,0.0,-53.5,-0.5506628787879002,35701.39234661435,1.1647542758172764,192.0,0,3
16,US30.cash,short,1643121940,1643124600,33851.57,34105.45,0.0,0.38,ema_cross,-44.07,0.0,0.0,-44.07,-0.4568299984244698,35650.918136943204,1.264842105263158,230.79999999999563,0,3
17,US30.cash,short,1643211040,1643213700,34439.57,34614.3,0.0,0.55,ema_cross,-89.09,0.0,0.0,-89.09,-0.9270302752818648,35588.69781784739,1.0166085708427313,158.85000000000582,0,3
18,US30.cash,short,1645109500,1645118100,34581.03,34728.65,0.0,0.65,ema_cross,17.86,0.0,0.0,17.86,0.18615363771843543,35326.72299237326,1.5745276417074878,134.20000000000437,0,3
19,US30.cash,short,1645200220,1645210800,34175.55,34317.45,0.0,0.68,ema_cross,37.94,0.0,0.0,37.94,0.3932346723044764,35287.23973777039,1.6801959412176346,129.0,0,3
20,US30.cash,short,1645627840,1645635600,33719.83,33825.65,0.0,0.91,ema_cross,129.29,0.0,0.0,129.29,1.342657342657363,35124.65710103164,1.3509629203794193,96.20000000000437,0,3
21,US30.cash,short,1645801220,1645802100,33291.67,33553.25,0.0,0.37,ema_cross,-53.98,0.0,0.0,-53.98,-0.5576878966281966,34971.76708941829,1.1805523853001598,237.8000000000029,0,3
22,US30.cash,short,1646061520,1646062600,33534.25,33688.25,0.0,0.63,sl_hit,-97.02,0.0,0.0,-97.02,-1.0,34935.595831009734,1.1951609221638895,140.0,0,3
23,US30.cash,short,1646146300,1646146300,33683.05,33865.65,0.0,0.53,ema_cross,18.18,0.0,0.0,18.18,0.18784227820374141,34894.4607003819,1.0502692998204668,166.0,0,3
24,US30.cash,long,1648648120,1648650600,35295.39,35232.25,0.0,1.54,ema_cross,-87.69,0.0,0.0,-87.69,-0.9018055115616543,34446.63936246916,2.8620961386918835,57.400000000001455,0,3
25,US30.cash,long,1648734580,1648734580,35176.82,35094.15,0.0,1.16,ema_cross,-0.66,0.0,0.0,-0.66,-0.006894883270832479,34479.13585805861,2.7959022852639874,75.15000000000146,0,3
26,US30.cash,long,1649426920,1649426920,34650.45,34496.45,0.0,0.62,ema_cross,6.9399999999999995,0.0,0.0,6.9399999999999995,0.07272727272730108,34528.42046204248,1.0251964237334055,140.0,0,3
