symbol,target_type,window,flags,n,settle_rate,win_rate,pf,total_pips,avg_pips,avg_settle_h,med_settle_h,avg_rr,med_rr,avg_dist,pct_timeout
EURUSD,intraday,intra_07-11_4h,CLU|tier,331,100.0,100.0,10399100.0,10399.0,31.4,7.6,9.0,0.42,0.33,31.4,0.0
EURUSD,intraday,intra_14-18_4h,EMA+CLU|tier,233,99.6,100.0,9892800.0,9893.0,42.5,12.7,15.0,0.52,0.67,42.6,0.4
EURUSD,intraday,intra_13-17_4h,EMA+CLU|tier,230,99.6,100.0,8981000.0,8981.0,39.0,11.8,13.2,0.47,0.33,39.2,0.4
EURUSD,intraday,intra_07-10_3h,CLU|tier,290,100.0,100.0,8329800.0,8330.0,28.7,6.5,7.8,0.4,0.33,28.7,0.0
EURUSD,intraday,intra_12-16_4h,EMA+CLU|tier,204,99.5,100.0,7777000.0,7777.0,38.1,11.7,12.8,0.47,0.33,38.2,0.5
EURUSD,intraday,intra_10-13_3h,H4+CLU|tier,212,100.0,100.0,7713700.0,7714.0,36.4,9.1,10.5,0.45,0.33,36.4,0.0
EURUSD,intraday,intra_10-13_3h,H4+CLU|1:2,212,100.0,100.0,7713700.0,7714.0,36.4,9.1,10.5,0.5,0.5,36.4,0.0
EURUSD,intraday,intra_07-11_4h,CLU+LLR|tier,235,100.0,100.0,7287400.0,7287.0,31.0,7.8,9.2,0.42,0.33,31.0,0.0
EURUSD,intraday,intra_07-11_4h,CLU+LLR|1:2,235,100.0,100.0,7287400.0,7287.0,31.0,7.8,9.2,0.5,0.5,31.0,0.0
EURUSD,intraday,intra_08-11_3h,CLU+LLR|tier,234,100.0,100.0,7251900.0,7252.0,31.0,7.8,9.2,0.42,0.33,31.0,0.0
EURUSD,intraday,intra_14-18_4h,EMA+CLU+LLR|tier,169,99.4,100.0,7148300.0,7148.0,42.3,12.8,15.4,0.52,0.67,42.4,0.6
EURUSD,intraday,intra_12-18_6h,EMA+H4+CLU|tier,164,100.0,100.0,7058700.0,7059.0,43.0,12.1,13.6,0.53,0.67,43.0,0.0
EURUSD,intraday,intra_15-18_3h,EMA+H4+CLU|tier,154,100.0,100.0,6950500.0,6950.0,45.1,12.6,14.8,0.53,0.67,45.1,0.0
EURUSD,intraday,intra_14-18_4h,EMA+H4+CLU|tier,149,100.0,100.0,6810500.0,6811.0,45.7,12.7,15.0,0.54,0.67,45.7,0.0
EURUSD,intraday,intra_13-17_4h,EMA+CLU+LLR|tier,172,99.4,100.0,6437700.0,6438.0,37.4,11.8,13.0,0.46,0.33,37.6,0.6
EURUSD,intraday,intra_08-11_3h,H4+CLU|tier,190,100.0,100.0,6378100.0,6378.0,33.6,7.3,9.0,0.43,0.33,33.6,0.0
EURUSD,intraday,intra_08-11_3h,H4+CLU|1:1.5,190,100.0,100.0,6378100.0,6378.0,33.6,7.3,9.0,0.67,0.67,33.6,0.0
EURUSD,intraday,intra_08-11_3h,H4+CLU|1:2,190,100.0,100.0,6378100.0,6378.0,33.6,7.3,9.0,0.5,0.5,33.6,0.0
EURUSD,intraday,intra_13-17_4h,EMA+H4+CLU|tier,148,100.0,100.0,6280900.0,6281.0,42.4,11.9,13.5,0.5,0.33,42.4,0.0
EURUSD,intraday,intra_07-11_4h,H4+CLU|tier,178,100.0,100.0,6109600.0,6110.0,34.3,7.4,9.1,0.43,0.33,34.3,0.0
EURUSD,intraday,intra_07-11_4h,H4+CLU|1:2,178,100.0,100.0,6109600.0,6110.0,34.3,7.4,9.1,0.5,0.5,34.3,0.0
EURUSD,intraday,intra_10-13_3h,EMA+CLU|tier,171,100.0,100.0,6012400.0,6012.0,35.2,9.1,10.5,0.44,0.33,35.2,0.0
EURUSD,intraday,intra_00-06_6h,CLU|tier,202,100.0,100.0,5836500.0,5837.0,28.9,3.2,3.2,0.4,0.33,28.9,0.0
EURUSD,intraday,intra_00-06_6h,CLU|1:2,202,100.0,100.0,5836500.0,5837.0,28.9,3.2,3.2,0.5,0.5,28.9,0.0
EURUSD,intraday,intra_07-10_3h,CLU+LLR|tier,196,100.0,100.0,5653200.0,5653.0,28.8,6.6,8.0,0.4,0.33,28.8,0.0
EURUSD,intraday,intra_07-10_3h,CLU+LLR|1:2,196,100.0,100.0,5653200.0,5653.0,28.8,6.6,8.0,0.5,0.5,28.8,0.0
EURUSD,intraday,intra_12-16_4h,EMA+H4+CLU|tier,136,100.0,100.0,5533800.0,5534.0,40.7,11.7,13.1,0.5,0.33,40.7,0.0
EURUSD,intraday,intra_08-10_2h,CLU+LLR|tier,194,100.0,100.0,5529500.0,5529.0,28.5,6.6,8.0,0.41,0.33,28.5,0.0
EURUSD,intraday,intra_08-10_2h,CLU+LLR|1:2,194,100.0,100.0,5529500.0,5529.0,28.5,6.6,8.0,0.5,0.5,28.5,0.0
EURUSD,intraday,intra_10-13_3h,H4+CLU+LLR|tier,144,100.0,100.0,5419000.0,5419.0,37.6,9.2,10.5,0.46,0.33,37.6,0.0
EURUSD,intraday,intra_10-13_3h,H4+CLU+LLR|1:2,144,100.0,100.0,5419000.0,5419.0,37.6,9.2,10.5,0.5,0.5,37.6,0.0
EURUSD,intraday,intra_12-16_4h,EMA+CLU+LLR|tier,146,99.3,100.0,5405500.0,5406.0,37.0,11.6,12.5,0.45,0.33,37.1,0.7
EURUSD,intraday,intra_08-10_2h,H4+CLU|tier,167,100.0,100.0,5216300.0,5216.0,31.2,6.1,6.0,0.43,0.33,31.2,0.0
EURUSD,intraday,intra_08-10_2h,H4+CLU|1:1.5,167,100.0,100.0,5216300.0,5216.0,31.2,6.1,6.0,0.67,0.67,31.2,0.0
EURUSD,intraday,intra_08-10_2h,H4+CLU|1:2,167,100.0,100.0,5216300.0,5216.0,31.2,6.1,6.0,0.5,0.5,31.2,0.0
EURUSD,intraday,intra_07-10_3h,H4+CLU|tier,166,100.0,100.0,5182600.0,5183.0,31.2,6.3,6.8,0.42,0.33,31.2,0.0
EURUSD,intraday,intra_07-10_3h,H4+CLU|1:2,166,100.0,100.0,5182600.0,5183.0,31.2,6.3,6.8,0.5,0.5,31.2,0.0
EURUSD,intraday,intra_12-18_6h,EMA+H4+CLU+LLR|tier,118,100.0,100.0,4945300.0,4945.0,41.9,12.1,13.5,0.52,0.33,41.9,0.0
EURUSD,intraday,intra_15-18_3h,EMA+H4+CLU+LLR|tier,112,100.0,100.0,4908600.0,4909.0,43.8,12.5,14.1,0.52,0.67,43.8,0.0
EURUSD,intraday,intra_14-18_4h,EMA+H4+CLU+LLR|tier,106,100.0,100.0,4874600.0,4875.0,46.0,12.7,14.9,0.54,0.67,46.0,0.0
EURUSD,intraday,intra_08-11_3h,EMA+CLU|tier,155,100.0,100.0,4750100.0,4750.0,30.6,7.5,9.0,0.42,0.33,30.6,0.0
EURUSD,intraday,intra_08-11_3h,EMA+CLU|1:2,155,100.0,100.0,4750100.0,4750.0,30.6,7.5,9.0,0.5,0.5,30.6,0.0
EURUSD,intraday,intra_10-13_3h,EMA+H4+CLU|tier,126,100.0,100.0,4671400.0,4671.0,37.1,9.3,10.5,0.46,0.33,37.1,0.0
EURUSD,intraday,intra_10-13_3h,EMA+H4+CLU|1:1.5,126,100.0,100.0,4671400.0,4671.0,37.1,9.3,10.5,0.67,0.67,37.1,0.0
EURUSD,intraday,intra_10-13_3h,EMA+H4+CLU|1:2,126,100.0,100.0,4671400.0,4671.0,37.1,9.3,10.5,0.5,0.5,37.1,0.0
EURUSD,intraday,intra_13-17_4h,EMA+H4+CLU+LLR|tier,107,100.0,100.0,4464900.0,4465.0,41.7,11.8,13.0,0.49,0.33,41.7,0.0
EURUSD,intraday,intra_08-11_3h,H4+CLU+LLR|tier,130,100.0,100.0,4460100.0,4460.0,34.3,7.4,9.2,0.44,0.33,34.3,0.0
EURUSD,intraday,intra_08-11_3h,H4+CLU+LLR|1:1.5,130,100.0,100.0,4460100.0,4460.0,34.3,7.4,9.2,0.67,0.67,34.3,0.0
EURUSD,intraday,intra_08-11_3h,H4+CLU+LLR|1:2,130,100.0,100.0,4460100.0,4460.0,34.3,7.4,9.2,0.5,0.5,34.3,0.0
EURUSD,intraday,intra_07-11_4h,EMA+CLU|tier,140,100.0,100.0,4453600.0,4454.0,31.8,7.8,9.2,0.42,0.33,31.8,0.0
EURUSD,intraday,intra_07-11_4h,EMA+CLU|1:2,140,100.0,100.0,4453600.0,4454.0,31.8,7.8,9.2,0.5,0.5,31.8,0.0
EURUSD,intraday,intra_10-13_3h,EMA+CLU+LLR|tier,122,100.0,100.0,4361900.0,4362.0,35.8,9.2,10.5,0.44,0.33,35.8,0.0
EURUSD,intraday,intra_07-11_4h,H4+CLU+LLR|tier,126,100.0,100.0,4329100.0,4329.0,34.4,7.4,9.2,0.43,0.33,34.4,0.0
EURUSD,intraday,intra_07-11_4h,H4+CLU+LLR|1:2,126,100.0,100.0,4329100.0,4329.0,34.4,7.4,9.2,0.5,0.5,34.4,0.0
EURUSD,intraday,intra_00-06_6h,H4+CLU|tier,132,100.0,100.0,4066700.0,4067.0,30.8,3.3,3.2,0.42,0.33,30.8,0.0
EURUSD,intraday,intra_00-06_6h,H4+CLU|1:1,132,100.0,100.0,4066700.0,4067.0,30.8,3.3,3.2,1.0,1.0,30.8,0.0
EURUSD,intraday,intra_00-06_6h,H4+CLU|1:1.5,132,100.0,100.0,4066700.0,4067.0,30.8,3.3,3.2,0.67,0.67,30.8,0.0
EURUSD,intraday,intra_00-06_6h,H4+CLU|1:2,132,100.0,100.0,4066700.0,4067.0,30.8,3.3,3.2,0.5,0.5,30.8,0.0
EURUSD,intraday,intra_12-16_4h,EMA+H4+CLU+LLR|tier,95,100.0,100.0,3849900.0,3850.0,40.5,11.4,12.2,0.48,0.33,40.5,0.0
EURUSD,intraday,intra_00-06_6h,CLU+LLR|tier,126,100.0,100.0,3684400.0,3684.0,29.2,3.3,3.5,0.4,0.33,29.2,0.0
EURUSD,intraday,intra_00-06_6h,CLU+LLR|1:2,126,100.0,100.0,3684400.0,3684.0,29.2,3.3,3.5,0.5,0.5,29.2,0.0
EURUSD,intraday,intra_08-11_3h,EMA+H4+CLU|tier,115,100.0,100.0,3641300.0,3641.0,31.7,7.1,8.5,0.42,0.33,31.7,0.0
EURUSD,intraday,intra_08-11_3h,EMA+H4+CLU|1:1.5,115,100.0,100.0,3641300.0,3641.0,31.7,7.1,8.5,0.67,0.67,31.7,0.0
EURUSD,intraday,intra_08-11_3h,EMA+H4+CLU|1:2,115,100.0,100.0,3641300.0,3641.0,31.7,7.1,8.5,0.5,0.5,31.7,0.0
EURUSD,intraday,intra_07-10_3h,H4+CLU+LLR|tier,112,100.0,100.0,3542200.0,3542.0,31.6,6.4,7.1,0.42,0.33,31.6,0.0
EURUSD,intraday,intra_07-10_3h,H4+CLU+LLR|1:2,112,100.0,100.0,3542200.0,3542.0,31.6,6.4,7.1,0.5,0.5,31.6,0.0
EURUSD,intraday,intra_08-11_3h,EMA+CLU+LLR|tier,113,100.0,100.0,3541100.0,3541.0,31.3,7.5,9.2,0.42,0.33,31.3,0.0
EURUSD,intraday,intra_08-11_3h,EMA+CLU+LLR|1:2,113,100.0,100.0,3541100.0,3541.0,31.3,7.5,9.2,0.5,0.5,31.3,0.0
EURUSD,intraday,intra_08-10_2h,H4+CLU+LLR|tier,112,100.0,100.0,3519500.0,3520.0,31.4,6.3,6.8,0.43,0.33,31.4,0.0
