trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,bias_ema,rvol,or_width,stop_arm,exit_arm
1,US100.cash,long,1635342340,1635364800,15647.29,15574.3,15793.26,1.37,forced_eod,-59.17,0.0,0.0,-59.17,-0.5917248938210654,15110.541377833282,1.0298972282777952,66.35000000000036,0,1
2,US100.cash,long,1635428800,1635451200,15707.48,15651.65,15819.13,1.78,forced_eod,120.36,0.0,0.0,120.36,1.2111767866738472,15129.841715957467,1.0784802242292122,50.75,0,1
3,US100.cash,long,1637079100,1637096400,16269.4,16156.65,16494.9,0.89,forced_eod,37.29,0.0,0.0,37.29,0.3716186252771586,15528.781104476724,1.0331481126652615,102.5,0,1
4,US100.cash,long,1637246800,1637248240,16409.88,16357.35,16514.93,1.92,sl_hit,-100.86,0.0,0.0,-100.86,-1.0,15588.943495520423,1.0136669874879691,47.74999999999818,0,1
5,US100.cash,long,1637333140,1637355600,16574.63,16522.65,16678.58,1.92,forced_eod,13.48,0.0,0.0,13.48,0.13505194305503068,15624.733946676486,1.0279114533205005,47.25,0,1
6,US100.cash,long,1637592580,1637598160,16729.45,16648.05,16892.25,1.22,sl_hit,-99.31,0.0,0.0,-99.31,-1.0,15662.867909551918,1.03659704924315,74.0,0,1
7,US100.cash,long,1637678800,1637680180,16398.93,16295.8,16605.18,0.96,sl_hit,-99.0,0.0,0.0,-99.0,-1.0,15691.592697412627,1.0738484963837076,93.75,0,1
8,US100.cash,long,1637766100,1637787600,16228.28,16127.35,16430.13,0.97,forced_eod,141.45,0.0,0.0,141.45,1.4447636976121994,15715.689062219975,1.1039034508768621,91.75,0,1
9,US100.cash,long,1638197800,1638219600,16301.19,16224.85,16453.87,1.3,forced_eod,128.58,0.0,0.0,128.58,1.2956510348440902,15778.717245562551,1.076407007081625,69.39999999999964,0,1
10,US100.cash,long,1638283540,1638287200,16389.83,16332.9,16503.68,1.77,sl_hit,-100.77,0.0,0.0,-100.77,-1.0,15804.085196716962,1.0834886321282147,51.75000000000182,0,1
11,US100.cash,long,1638370960,1638381340,16374.45,16284.25,16554.85,1.1,sl_hit,-99.22,0.0,0.0,-99.22,-1.0,15821.342639982964,1.0372717107715244,82.0,0,1
12,US100.cash,long,1638888340,1638895000,16194.94,16134.6,16315.61,1.63,tp_hit,196.69,0.0,0.0,196.69,1.9998342724560785,15827.222493716956,1.0096339113680155,54.850000000000364,0,1
13,US100.cash,short,1640015920,1640031700,15550.85,15658.1,15336.35,0.93,sl_hit,-99.74,0.0,0.0,-99.74,-1.0,15920.92107617388,1.091439354949391,97.5,0,1
14,US100.cash,short,1640098000,1640105720,15713.47,15813.35,15513.71,0.99,sl_hit,-98.88,0.0,0.0,-98.88,-1.0,15912.075151618043,1.0054663477963786,90.80000000000109,0,1
15,US100.cash,long,1641394360,1641403940,16235.86,16115.85,16475.88,0.82,sl_hit,-98.41,0.0,0.0,-98.41,-1.0,16064.876765155419,1.0735474811304195,109.10000000000036,0,1
16,US100.cash,short,1641481480,1641484660,15666.53,15860.95,15277.68,0.5,sl_hit,-97.21,0.0,0.0,-97.21,-1.0,16053.312970443441,1.0903984553273653,176.75,0,1
17,US100.cash,short,1641568900,1641589200,15671.17,15823.5,15366.52,0.63,forced_eod,47.61,0.0,0.0,47.61,0.4960940064333995,16043.220304935856,1.09671757065122,138.47999999999956,0,1
18,US100.cash,short,1641826540,1641840640,15289.73,15426.4,15016.38,0.71,sl_hit,-97.04,0.0,0.0,-97.04,-1.0,16025.280292977586,1.0942601369141653,124.25,0,1
19,US100.cash,short,1641998900,1642000180,15899.14,16005.45,15686.51,0.9,sl_hit,-95.68,0.0,0.0,-95.68,-1.0,16002.845476139633,1.0514305774969281,96.65000000000146,0,1
20,US100.cash,short,1642776820,1642782100,14669.3,14832.65,14342.6,0.58,sl_hit,-94.74,0.0,0.0,-94.74,-1.0,15841.987585894281,1.024519549370444,148.5,0,1
21,US100.cash,short,1643035540,1643044360,14118.52,14277.3,13800.95,0.59,tp_hit,187.37,0.0,0.0,187.37,2.0000629802242225,15786.993955074897,1.017215937038859,144.34999999999854,0,1
22,US100.cash,short,1643121940,1643138200,14186.7,14316.5,13927.1,0.74,sl_hit,-96.05,0.0,0.0,-96.05,-1.0,15736.812623503332,1.04594330400782,118.0,0,1
23,US100.cash,short,1643211940,1643217460,14350.24,14511.55,14027.61,0.59,sl_hit,-95.17,0.0,0.0,-95.17,-1.0,15666.510951993398,1.0012961762799741,146.64999999999964,0,1
24,US100.cash,short,1643297500,1643314540,14234.22,14367.7,13967.25,0.7,tp_hit,186.88,0.0,0.0,186.88,2.0000749175906245,15607.455620542678,1.0249594813614262,121.35000000000036,0,1
25,US100.cash,short,1644250660,1644267600,14672.33,14794.7,14427.58,0.78,forced_eod,63.94,0.0,0.0,63.94,0.6699354416932175,15386.9831135768,1.036045314109166,111.25,0,1
26,US100.cash,short,1644332440,1644335140,14504.75,14599.95,14314.34,1.01,sl_hit,-96.15,0.0,0.0,-96.15,-1.0,15356.658285593396,1.0305526948163406,86.55000000000109,0,1
27,US100.cash,short,1644591460,1644604360,14658.04,14760.45,14453.22,0.93,tp_hit,190.48,0.0,0.0,190.48,2.0000000000000178,15297.915761221384,1.2763471110149318,93.10000000000036,0,1
28,US100.cash,short,1645198180,1645218000,14081.62,14224.4,13796.06,0.68,forced_eod,46.08,0.0,0.0,46.08,0.47464630900687066,15130.747160350982,1.8186320024760136,129.79999999999927,0,1
29,US100.cash,short,1645455020,1645484700,13812.63,13890.4,13657.09,1.26,tp_hit,195.98,0.0,0.36,196.34,1.9999999999999767,15086.639428572513,1.0700948882767065,70.69999999999891,0,1
30,US100.cash,short,1645627780,1645632520,13939.72,14037.4,13744.36,1.02,tp_hit,199.27,0.0,0.0,199.27,1.9999999999999813,14991.54666205406,1.2501067008109261,88.79999999999927,0,1
31,US100.cash,short,1645801180,1645803040,13863.69,14018.4,13554.26,0.66,sl_hit,-102.11,0.0,0.0,-102.11,-1.0,14893.705703803074,1.0548666553422796,140.64999999999964,0,1
32,US100.cash,long,1648648120,1648652680,15206.18,15145.95,15326.63,1.6800000000000002,sl_hit,-101.19,0.0,0.0,-101.19,-1.0,14467.565389102117,3.078602620087336,54.75,0,1
33,US100.cash,short,1649425900,1649430100,14356.98,14478.25,14114.43,0.82,sl_hit,-99.44,0.0,0.0,-99.44,-1.0,14557.218929506189,1.0274185204345576,110.25,0,1
34,US100.cash,short,1649687200,1649707200,14096.39,14181.25,13926.66,1.16,forced_eod,104.39,0.0,0.0,104.39,1.0604525100164879,14548.60054011379,1.019029658837648,77.14999999999964,0,1
35,US100.cash,short,1649775040,1649777440,14107.3,14202.45,13917.0,1.05,sl_hit,-99.91,0.0,0.0,-99.91,-1.0,14527.36522481521,1.028805181523777,86.5,0,1
36,US100.cash,short,1650462520,1650484800,14113.91,14274.45,13792.82,0.61,forced_eod,64.33,0.0,0.0,64.33,0.6569079357169463,14436.845422537259,1.0364592165507884,145.95000000000073,0,1
37,US100.cash,short,1650550420,1650560620,14159.38,14288.35,13901.43,0.77,tp_hit,198.62,0.0,0.0,198.62,2.0000775374117747,14422.610307927955,1.0157068062827226,117.25,0,1
38,US100.cash,short,1650637300,1650657600,13606.29,13783.0,13252.86,0.57,forced_eod,140.13,0.0,0.0,140.13,1.391205930620799,14395.36480565627,1.0495715005881365,160.64999999999964,0,1
39,US100.cash,short,1650894340,1650896680,13259.84,13373.3,13032.91,0.91,sl_hit,-103.25,0.0,0.0,-103.25,-1.0,14353.638734846221,1.070290219761785,103.14999999999964,0,1
40,US100.cash,short,1650980800,1651003180,13312.88,13455.6,13027.43,0.71,tp_hit,202.67,0.0,0.0,202.67,2.00007006726455,14321.586235440487,1.017198196693939,129.75,0,1
41,US100.cash,short,1651068940,1651076660,12997.2,13209.5,12572.6,0.49,sl_hit,-104.03,0.0,0.0,-104.03,-1.0,14262.673049736939,1.0556016597510374,193.0,0,1
42,US100.cash,short,1651153900,1651163680,13107.51,13287.25,12748.03,0.57,sl_hit,-102.45,0.0,0.0,-102.45,-1.0,14220.491753668824,1.054749340369393,163.39999999999964,0,1
43,US100.cash,short,1651242940,1651261780,13219.74,13379.95,12899.31,0.63,tp_hit,201.87,0.0,0.0,201.87,2.000062418076265,14185.237175093578,1.0344149459193708,145.65000000000146,0,1
44,US100.cash,short,1651585540,1651586200,12988.05,13086.0,12792.14,1.06,sl_hit,-103.83,0.0,0.0,-103.83,-1.0,14092.559499192497,1.0293022502833091,89.04999999999927,0,1
45,US100.cash,short,1651844860,1651846720,12565.1,12796.1,12103.1,0.44,sl_hit,-101.64,0.0,0.0,-101.64,-1.0,13988.038168732222,1.0193941336752685,210.0,0,1
46,US100.cash,short,1652104840,1652126400,12414.65,12559.85,12124.25,0.7,forced_eod,146.27,0.0,0.0,146.27,1.4390495867768447,13936.285691527037,1.0224558050645007,132.0,0,1
47,US100.cash,short,1653055660,1653062920,11934.45,12051.6,11700.15,0.88,tp_hit,206.18,0.0,0.0,206.18,2.0000000000000155,13397.720824231908,1.0008026970621287,106.5,0,1
48,US100.cash,short,1653314560,1653316360,11806.78,11927.45,11565.44,0.87,sl_hit,-104.98,0.0,0.0,-104.98,-1.0,13336.44941936007,1.0075453523840103,109.70000000000073,0,1
