trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,bias_ema,rvol,or_width,stop_arm,exit_arm
1,US500.cash,long,1635428740,1635436800,4580.6,4570.7,0.0,10.1,ema_cross,61.61,0.0,0.0,61.61,0.6161616161615271,4444.421160231914,1.1052114060963618,9.0,0,3
2,US500.cash,long,1636555600,1636562700,4678.13,4667.4,0.0,9.38,ema_cross,-13.88,0.0,0.0,-13.88,-0.13793103448279662,4508.5888365332685,1.5570745044429255,9.75,0,3
3,US500.cash,long,1637074120,1637091900,4701.25,4684.2,0.0,5.89,ema_cross,68.91,0.0,0.0,68.91,0.6862170087976359,4532.937163468731,1.1277860326894502,15.5,0,3
4,US500.cash,long,1637333140,1637335800,4710.13,4699.4,0.0,9.43,ema_cross,-94.11,0.0,0.0,-94.11,-0.930102516309416,4552.21393313984,1.8807631160572338,9.75,0,3
5,US500.cash,long,1637592520,1637598600,4730.63,4719.35,0.0,8.88,ema_cross,40.58,0.0,0.0,40.58,0.40514184397161457,4558.152602428474,1.3240525908739367,10.25,0,3
6,US500.cash,long,1637678800,1637680500,4694.9,4676.2,0.0,5.38,ema_cross,-64.29,0.0,0.0,-64.29,-0.6390374331550767,4563.285833705789,1.6910569105691058,17.0,0,3
7,US500.cash,long,1637766100,1637781300,4681.6,4666.75,0.0,6.73,ema_cross,64.94,0.0,0.0,64.94,0.6498316498316095,4568.380506893797,2.093470790378007,13.5,0,3
8,US500.cash,long,1638284260,1638287380,4641.48,4622.5,0.0,5.3,sl_hit,-100.59,0.0,0.0,-100.59,-1.0,4583.099001029218,2.1894736842105265,17.25,0,3
9,US500.cash,long,1638370840,1638370840,4631.43,4613.55,0.0,5.57,ema_cross,-2.12,0.0,0.0,-2.12,-0.021252796420587628,4583.455902949641,1.4823529411764707,16.25,0,3
10,US500.cash,long,1638888340,1638900900,4670.15,4653.65,0.0,6.03,ema_cross,113.06,0.0,0.0,113.06,1.1363636363636365,4580.2848397083835,1.0479906359734685,15.0,0,3
11,US500.cash,long,1638975040,1638975040,4700.73,4685.05,0.0,6.42,ema_cross,8.47,0.0,0.0,8.47,0.08418367346943052,4585.054061680604,1.0815799187892212,14.25,0,3
12,US500.cash,long,1639493120,1639494000,4664.98,4637.75,0.0,3.7,ema_cross,-40.63,0.0,0.0,-40.63,-0.40323172970986926,4601.26915755946,1.0611535788742181,24.75,0,3
