entry_t,exit_t,R,instr
2025-01-09 13:00:00,2025-01-16 15:00:00,3.0,XAUUSD
2025-01-16 15:00:00,2025-01-20 01:00:00,-1.0,XAUUSD
2025-01-21 07:00:00,2025-01-24 15:00:00,3.0,XAUUSD
2025-01-24 15:00:00,2025-01-27 01:00:00,-1.0,XAUUSD
2025-01-28 07:00:00,2025-01-28 18:00:00,-1.0,XAUUSD
2025-01-29 09:00:00,2025-01-29 17:00:00,-1.0,XAUUSD
2025-01-30 11:00:00,2025-01-31 17:00:00,3.0,XAUUSD
2025-01-31 17:00:00,2025-02-03 01:00:00,-1.0,XAUUSD
2025-02-04 07:00:00,2025-02-05 17:00:00,3.0,XAUUSD
2025-02-05 17:00:00,2025-02-06 08:00:00,-1.0,XAUUSD
2025-02-07 11:00:00,2025-02-11 01:00:00,3.0,XAUUSD
2025-02-11 07:00:00,2025-02-11 14:00:00,-1.0,XAUUSD
2025-02-12 11:00:00,2025-02-12 19:00:00,-1.0,XAUUSD
2025-02-13 13:00:00,2025-02-14 17:00:00,-1.0,XAUUSD
2025-02-17 07:00:00,2025-02-18 13:00:00,-1.0,XAUUSD
2025-02-18 13:00:00,2025-02-25 18:00:00,-1.0,XAUUSD
2025-02-26 07:00:00,2025-02-28 16:00:00,3.0,XAUUSD
2025-02-28 16:00:00,2025-03-03 01:00:00,-1.0,XAUUSD
2025-03-04 09:00:00,2025-03-11 07:00:00,-1.0,XAUUSD
2025-03-11 07:00:00,2025-03-11 15:00:00,-1.0,XAUUSD
2025-03-13 07:00:00,2025-03-14 00:00:00,3.0,XAUUSD
2025-03-14 09:00:00,2025-03-19 20:00:00,3.0,XAUUSD
2025-03-20 07:00:00,2025-03-20 12:00:00,-1.0,XAUUSD
2025-03-21 11:00:00,2025-03-27 09:00:00,-1.0,XAUUSD
2025-03-27 09:00:00,2025-03-28 09:00:00,3.0,XAUUSD
2025-03-28 11:00:00,2025-04-01 04:00:00,3.0,XAUUSD
2025-04-01 07:00:00,2025-04-01 18:00:00,-1.0,XAUUSD
2025-04-03 07:00:00,2025-04-03 13:00:00,-1.0,XAUUSD
2025-04-04 12:00:00,2025-04-04 14:00:00,-1.0,XAUUSD
2025-04-07 14:00:00,2025-04-09 12:00:00,-1.0,XAUUSD
2025-04-09 12:00:00,2025-04-10 18:00:00,3.0,XAUUSD
2025-04-11 07:00:00,2025-04-16 21:00:00,3.0,XAUUSD
2025-04-17 07:00:00,2025-04-17 17:00:00,-1.0,XAUUSD
2025-04-21 09:00:00,2025-04-23 01:00:00,-1.0,XAUUSD
2025-04-23 07:00:00,2025-05-05 12:00:00,1.0,XAUUSD
2025-05-05 12:00:00,2025-05-06 23:00:00,3.0,XAUUSD
2025-05-07 07:00:00,2025-05-08 09:00:00,-1.0,XAUUSD
2025-05-08 14:00:00,2025-05-14 15:00:00,3.0,XAUUSD
2025-05-14 15:00:00,2025-05-15 19:00:00,-1.0,XAUUSD
2025-05-16 07:00:00,2025-05-16 13:00:00,-1.0,XAUUSD
2025-05-19 10:00:00,2025-05-23 20:00:00,3.0,XAUUSD
2025-05-26 07:00:00,2025-05-27 08:00:00,-1.0,XAUUSD
2025-05-27 13:00:00,2025-05-28 12:00:00,-1.0,XAUUSD
2025-05-29 07:00:00,2025-05-29 14:00:00,-1.0,XAUUSD
2025-06-02 09:00:00,2025-06-06 22:00:00,-1.0,XAUUSD
2025-06-09 07:00:00,2025-06-10 14:00:00,-1.0,XAUUSD
2025-06-11 11:00:00,2025-06-11 20:00:00,-1.0,XAUUSD
