entry_i,exit_i,dir,R,bars,entry,outcome,entry_t,exit_t
27,123,1,1.0,96,1.02927,TP,2025-02-04 07:00:00,2025-02-10 07:00:00
123,161,-1,-1.0,38,1.03157,SL,2025-02-10 07:00:00,2025-02-11 21:00:00
171,179,1,-1.0,8,1.0358,SL,2025-02-12 07:00:00,2025-02-12 15:00:00
196,202,1,-1.0,6,1.04303,SL,2025-02-13 08:00:00,2025-02-13 14:00:00
221,296,1,-1.0,75,1.04643,SL,2025-02-14 09:00:00,2025-02-19 12:00:00
298,324,-1,-1.0,26,1.04276,SL,2025-02-19 14:00:00,2025-02-20 16:00:00
339,346,1,-1.0,7,1.04924,SL,2025-02-21 07:00:00,2025-02-21 14:00:00
364,366,1,-1.0,2,1.05082,SL,2025-02-24 08:00:00,2025-02-24 10:00:00
411,434,1,-1.0,23,1.0491,SL,2025-02-26 07:00:00,2025-02-27 06:00:00
459,480,-1,-1.0,21,1.03884,SL,2025-02-28 07:00:00,2025-03-03 04:00:00
493,523,1,3.0,30,1.04841,WIN,2025-03-03 17:00:00,2025-03-04 23:00:00
531,543,1,3.0,12,1.0631,WIN,2025-03-05 07:00:00,2025-03-05 19:00:00
556,699,1,1.0,143,1.08022,TP,2025-03-06 08:00:00,2025-03-14 07:00:00
699,704,-1,-1.0,5,1.08501,SL,2025-03-14 07:00:00,2025-03-14 12:00:00
732,772,1,-1.0,40,1.0921,SL,2025-03-17 17:00:00,2025-03-19 09:00:00
800,960,-1,1.0,160,1.08489,TP,2025-03-20 13:00:00,2025-03-31 07:00:00
960,970,1,-1.0,10,1.08337,SL,2025-03-31 07:00:00,2025-03-31 17:00:00
1032,1038,1,3.0,6,1.09063,WIN,2025-04-03 07:00:00,2025-04-03 13:00:00
1057,1060,1,-1.0,3,1.10837,SL,2025-04-04 08:00:00,2025-04-04 11:00:00
1129,1141,1,-1.0,12,1.10612,SL,2025-04-09 08:00:00,2025-04-09 20:00:00
1161,1180,1,3.0,19,1.11265,WIN,2025-04-10 16:00:00,2025-04-11 11:00:00
1186,1368,1,1.0,182,1.13396,TP,2025-04-11 17:00:00,2025-04-23 07:00:00
