entry_i,exit_i,dir,R,bars,entry,outcome,entry_t,exit_t
47,99,1,-1.0,52,2673.98,SL,2025-01-09 14:00:00,2025-01-13 20:00:00
138,219,1,3.0,81,2686.8,WIN,2025-01-15 13:00:00,2025-01-21 06:00:00
220,297,1,3.0,77,2726.02,WIN,2025-01-21 07:00:00,2025-01-24 15:00:00
297,306,1,-1.0,9,2782.35,SL,2025-01-24 15:00:00,2025-01-27 01:00:00
335,346,-1,-1.0,11,2741.66,SL,2025-01-28 07:00:00,2025-01-28 18:00:00
360,368,1,-1.0,8,2759.16,SL,2025-01-29 09:00:00,2025-01-29 17:00:00
385,414,1,3.0,29,2774.34,WIN,2025-01-30 11:00:00,2025-01-31 17:00:00
414,421,1,-1.0,7,2809.24,SL,2025-01-31 17:00:00,2025-02-03 01:00:00
450,483,1,3.0,33,2815.77,WIN,2025-02-04 07:00:00,2025-02-05 17:00:00
483,497,1,-1.0,14,2880.21,SL,2025-02-05 17:00:00,2025-02-06 08:00:00
523,559,1,3.0,36,2868.95,WIN,2025-02-07 11:00:00,2025-02-11 01:00:00
565,572,1,-1.0,7,2922.75,SL,2025-02-11 07:00:00,2025-02-11 14:00:00
611,644,1,-1.0,33,2917.96,SL,2025-02-13 07:00:00,2025-02-14 17:00:00
657,684,-1,-1.0,27,2895.93,SL,2025-02-17 07:00:00,2025-02-18 15:00:00
686,801,1,-1.0,115,2927.05,SL,2025-02-18 17:00:00,2025-02-25 17:00:00
814,869,-1,3.0,55,2915.38,WIN,2025-02-26 07:00:00,2025-02-28 16:00:00
869,877,-1,-1.0,8,2833.78,SL,2025-02-28 16:00:00,2025-03-03 01:00:00
908,1022,1,-1.0,114,2899.96,SL,2025-03-04 09:00:00,2025-03-11 07:00:00
1022,1030,-1,-1.0,8,2895.78,SL,2025-03-11 07:00:00,2025-03-11 15:00:00
1068,1084,1,3.0,16,2940.01,WIN,2025-03-13 07:00:00,2025-03-14 00:00:00
1093,1173,1,3.0,80,2986.9,WIN,2025-03-14 09:00:00,2025-03-19 20:00:00
1183,1188,1,-1.0,5,3046.68,SL,2025-03-20 07:00:00,2025-03-20 12:00:00
1302,1337,1,3.0,35,3039.92,WIN,2025-03-27 11:00:00,2025-03-31 01:00:00
1343,1419,1,-1.0,76,3113.29,SL,2025-03-31 07:00:00,2025-04-03 14:00:00
1458,1513,-1,-1.0,55,3035.38,SL,2025-04-07 07:00:00,2025-04-09 16:00:00
1513,1554,1,3.0,41,3075.22,WIN,2025-04-09 16:00:00,2025-04-11 11:00:00
1554,1661,1,3.0,107,3216.09,WIN,2025-04-11 11:00:00,2025-04-21 03:00:00
1665,1687,1,3.0,22,3376.28,WIN,2025-04-21 07:00:00,2025-04-22 06:00:00
1690,1696,1,-1.0,6,3479.74,SL,2025-04-22 09:00:00,2025-04-22 15:00:00
1715,1901,-1,1.0,186,3321.4,TP,2025-04-23 11:00:00,2025-05-05 13:00:00
1901,1934,1,3.0,33,3313.3,WIN,2025-05-05 13:00:00,2025-05-06 23:00:00
1941,1966,1,-1.0,25,3382.11,SL,2025-05-07 07:00:00,2025-05-08 09:00:00
1987,2071,-1,3.0,84,3324.63,WIN,2025-05-09 07:00:00,2025-05-14 22:00:00
2079,2085,-1,-1.0,6,3138.57,SL,2025-05-15 07:00:00,2025-05-15 13:00:00
2171,2266,1,-1.0,95,3302.09,SL,2025-05-21 07:00:00,2025-05-27 14:00:00
2266,2285,-1,-1.0,19,3288.34,SL,2025-05-27 14:00:00,2025-05-28 10:00:00
2305,2312,-1,-1.0,7,3269.09,SL,2025-05-29 07:00:00,2025-05-29 14:00:00
2355,2453,1,-1.0,98,3352.08,SL,2025-06-02 11:00:00,2025-06-06 17:00:00
2466,2496,-1,-1.0,30,3311.69,SL,2025-06-09 07:00:00,2025-06-10 14:00:00
2535,2538,1,-1.0,3,3370.44,SL,2025-06-12 07:00:00,2025-06-12 10:00:00
2560,2603,1,-1.0,43,3416.22,SL,2025-06-13 09:00:00,2025-06-17 06:00:00
2669,2686,-1,-1.0,17,3354.28,SL,2025-06-20 07:00:00,2025-06-23 01:00:00
2717,2830,-1,-1.0,113,3322.73,SL,2025-06-24 09:00:00,2025-07-01 07:00:00
2830,2914,1,-1.0,84,3322.92,SL,2025-07-01 07:00:00,2025-07-07 07:00:00
2914,2927,-1,-1.0,13,3307.69,SL,2025-07-07 07:00:00,2025-07-07 20:00:00
2960,2975,-1,-1.0,15,3293.95,SL,2025-07-09 07:00:00,2025-07-09 22:00:00
3006,3075,1,1.0,69,3331.96,TP,2025-07-11 07:00:00,2025-07-16 07:00:00
3075,3086,-1,-1.0,11,3338.28,SL,2025-07-16 07:00:00,2025-07-16 18:00:00
3131,3176,1,3.0,45,3354.73,WIN,2025-07-18 17:00:00,2025-07-22 16:00:00
3176,3202,1,-1.0,26,3412.33,SL,2025-07-22 16:00:00,2025-07-23 19:00:00
3213,3268,-1,3.0,55,3382.66,WIN,2025-07-24 07:00:00,2025-07-28 16:00:00
3268,3286,-1,-1.0,18,3302.23,SL,2025-07-28 16:00:00,2025-07-29 11:00:00
3328,3359,-1,-1.0,31,3298.14,SL,2025-07-31 07:00:00,2025-08-01 15:00:00
3374,3495,1,-1.0,121,3358.97,SL,2025-08-04 07:00:00,2025-08-11 13:00:00
3495,3674,-1,1.0,179,3358.43,TP,2025-08-11 13:00:00,2025-08-21 08:00:00
3674,3704,1,-1.0,30,3338.81,SL,2025-08-21 08:00:00,2025-08-22 15:00:00
3719,3803,1,3.0,84,3366.05,WIN,2025-08-25 07:00:00,2025-08-28 22:00:00
3811,3831,1,3.0,20,3408.88,WIN,2025-08-29 07:00:00,2025-09-01 04:00:00
3836,3887,1,3.0,51,3479.29,WIN,2025-09-01 09:00:00,2025-09-03 17:00:00
3887,3898,1,-1.0,11,3558.43,SL,2025-09-03 17:00:00,2025-09-04 05:00:00
3923,3955,1,3.0,32,3558.45,WIN,2025-09-05 07:00:00,2025-09-08 16:00:00
3955,4180,1,3.0,225,3633.49,WIN,2025-09-08 16:00:00,2025-09-22 11:00:00
4180,4291,1,3.0,111,3720.42,WIN,2025-09-22 11:00:00,2025-09-29 07:00:00
4291,4401,1,3.0,110,3805.03,WIN,2025-09-29 07:00:00,2025-10-06 02:00:00
4406,4457,1,3.0,51,3938.63,WIN,2025-10-06 07:00:00,2025-10-08 12:00:00
4457,4469,1,-1.0,12,4049.33,SL,2025-10-08 12:00:00,2025-10-09 01:00:00
4482,4485,1,-1.0,3,4044.46,SL,2025-10-09 14:00:00,2025-10-09 17:00:00
