fold,flatBand,slopeLen,adxStrongTh,minScore,cooldown,is_n,is_pf,is_exp,is_win_rate,is_wins,is_losses,is_win3R,is_tp1R,is_sl
0,0.3,5,20,50,10,32,2.411764705882353,0.75,0.46875,15,17,13,2,17
0,0.3,5,20,50,25,33,2.2777777777777777,0.696969696969697,0.45454545454545453,15,18,13,2,18
0,0.3,5,20,50,50,27,2.1333333333333333,0.6296296296296297,0.4444444444444444,12,15,10,2,15
0,0.3,5,20,60,10,32,2.411764705882353,0.75,0.46875,15,17,13,2,17
0,0.3,5,20,60,25,33,2.2777777777777777,0.696969696969697,0.45454545454545453,15,18,13,2,18
0,0.3,5,20,60,50,27,2.1333333333333333,0.6296296296296297,0.4444444444444444,12,15,10,2,15
0,0.3,5,20,75,10,32,2.411764705882353,0.75,0.46875,15,17,13,2,17
0,0.3,5,20,75,25,33,2.2777777777777777,0.696969696969697,0.45454545454545453,15,18,13,2,18
0,0.3,5,20,75,50,27,2.1333333333333333,0.6296296296296297,0.4444444444444444,12,15,10,2,15
0,0.3,5,25,50,10,32,2.411764705882353,0.75,0.46875,15,17,13,2,17
0,0.3,5,25,50,25,33,2.2777777777777777,0.696969696969697,0.45454545454545453,15,18,13,2,18
0,0.3,5,25,50,50,27,2.1333333333333333,0.6296296296296297,0.4444444444444444,12,15,10,2,15
0,0.3,5,25,60,10,32,2.411764705882353,0.75,0.46875,15,17,13,2,17
0,0.3,5,25,60,25,33,2.2777777777777777,0.696969696969697,0.45454545454545453,15,18,13,2,18
0,0.3,5,25,60,50,27,2.1333333333333333,0.6296296296296297,0.4444444444444444,12,15,10,2,15
0,0.3,5,25,75,10,32,2.411764705882353,0.75,0.46875,15,17,13,2,17
0,0.3,5,25,75,25,33,2.2777777777777777,0.696969696969697,0.45454545454545453,15,18,13,2,18
0,0.3,5,25,75,50,27,2.1333333333333333,0.6296296296296297,0.4444444444444444,12,15,10,2,15
0,0.3,10,20,50,10,50,1.7333333333333334,0.44,0.4,20,30,16,4,30
0,0.3,10,20,50,25,44,1.96,0.5454545454545454,0.4318181818181818,19,25,15,4,25
0,0.3,10,20,50,50,34,1.5714285714285714,0.35294117647058826,0.38235294117647056,13,21,10,3,21
0,0.3,10,20,60,10,46,1.7857142857142858,0.4782608695652174,0.391304347826087,18,28,16,2,28
0,0.3,10,20,60,25,40,1.9565217391304348,0.55,0.425,17,23,14,3,23
0,0.3,10,20,60,50,34,1.3478260869565217,0.23529411764705882,0.3235294117647059,11,23,10,1,23
0,0.3,10,20,75,10,46,1.7857142857142858,0.4782608695652174,0.391304347826087,18,28,16,2,28
0,0.3,10,20,75,25,40,1.9565217391304348,0.55,0.425,17,23,14,3,23
0,0.3,10,20,75,50,34,1.3478260869565217,0.23529411764705882,0.3235294117647059,11,23,10,1,23
0,0.3,10,25,50,10,50,1.7333333333333334,0.44,0.4,20,30,16,4,30
0,0.3,10,25,50,25,44,1.96,0.5454545454545454,0.4318181818181818,19,25,15,4,25
0,0.3,10,25,50,50,34,1.5714285714285714,0.35294117647058826,0.38235294117647056,13,21,10,3,21
0,0.3,10,25,60,10,47,1.4838709677419355,0.3191489361702128,0.3404255319148936,16,31,15,1,31
0,0.3,10,25,60,25,40,1.64,0.4,0.375,15,25,13,2,25
0,0.3,10,25,60,50,34,1.08,0.058823529411764705,0.2647058823529412,9,25,9,0,25
0,0.3,10,25,75,10,47,1.4838709677419355,0.3191489361702128,0.3404255319148936,16,31,15,1,31
0,0.3,10,25,75,25,40,1.64,0.4,0.375,15,25,13,2,25
0,0.3,10,25,75,50,34,1.08,0.058823529411764705,0.2647058823529412,9,25,9,0,25
0,0.3,20,20,50,10,54,1.457142857142857,0.2962962962962963,0.35185185185185186,19,35,16,3,35
0,0.3,20,20,50,25,45,1.4482758620689655,0.28888888888888886,0.35555555555555557,16,29,13,3,29
0,0.3,20,20,50,50,34,1.4545454545454546,0.29411764705882354,0.35294117647058826,12,22,10,2,22
0,0.3,20,20,60,10,53,1.5,0.32075471698113206,0.3584905660377358,19,34,16,3,34
0,0.3,20,20,60,25,45,1.2903225806451613,0.2,0.3111111111111111,14,31,13,1,31
0,0.3,20,20,60,50,33,1.3181818181818181,0.21212121212121213,0.3333333333333333,11,22,9,2,22
0,0.3,20,20,75,10,53,1.5,0.32075471698113206,0.3584905660377358,19,34,16,3,34
0,0.3,20,20,75,25,45,1.2903225806451613,0.2,0.3111111111111111,14,31,13,1,31
0,0.3,20,20,75,50,33,1.3181818181818181,0.21212121212121213,0.3333333333333333,11,22,9,2,22
0,0.3,20,25,50,10,54,1.457142857142857,0.2962962962962963,0.35185185185185186,19,35,16,3,35
0,0.3,20,25,50,25,45,1.4482758620689655,0.28888888888888886,0.35555555555555557,16,29,13,3,29
0,0.3,20,25,50,50,34,1.4545454545454546,0.29411764705882354,0.35294117647058826,12,22,10,2,22
0,0.3,20,25,60,10,50,1.4242424242424243,0.28,0.34,17,33,15,2,33
0,0.3,20,25,60,25,44,1.4827586206896552,0.3181818181818182,0.3409090909090909,15,29,14,1,29
0,0.3,20,25,60,50,31,1.3333333333333333,0.22580645161290322,0.3225806451612903,10,21,9,1,21
0,0.3,20,25,75,10,50,1.4242424242424243,0.28,0.34,17,33,15,2,33
0,0.3,20,25,75,25,44,1.4827586206896552,0.3181818181818182,0.3409090909090909,15,29,14,1,29
0,0.3,20,25,75,50,31,1.3333333333333333,0.22580645161290322,0.3225806451612903,10,21,9,1,21
0,0.5,5,20,50,10,25,2.6153846153846154,0.84,0.48,12,13,11,1,13
0,0.5,5,20,50,25,24,2.8333333333333335,0.9166666666666666,0.5,12,12,11,1,12
0,0.5,5,20,50,50,22,2.5,0.8181818181818182,0.45454545454545453,10,12,10,0,12
0,0.5,5,20,60,10,25,2.6153846153846154,0.84,0.48,12,13,11,1,13
0,0.5,5,20,60,25,24,2.8333333333333335,0.9166666666666666,0.5,12,12,11,1,12
0,0.5,5,20,60,50,22,2.5,0.8181818181818182,0.45454545454545453,10,12,10,0,12
0,0.5,5,20,75,10,25,2.6153846153846154,0.84,0.48,12,13,11,1,13
0,0.5,5,20,75,25,24,2.8333333333333335,0.9166666666666666,0.5,12,12,11,1,12
0,0.5,5,20,75,50,22,2.5,0.8181818181818182,0.45454545454545453,10,12,10,0,12
0,0.5,5,25,50,10,25,2.6153846153846154,0.84,0.48,12,13,11,1,13
0,0.5,5,25,50,25,24,2.8333333333333335,0.9166666666666666,0.5,12,12,11,1,12
0,0.5,5,25,50,50,22,2.5,0.8181818181818182,0.45454545454545453,10,12,10,0,12
0,0.5,5,25,60,10,25,2.6153846153846154,0.84,0.48,12,13,11,1,13
0,0.5,5,25,60,25,24,2.8333333333333335,0.9166666666666666,0.5,12,12,11,1,12
0,0.5,5,25,60,50,22,2.5,0.8181818181818182,0.45454545454545453,10,12,10,0,12
0,0.5,5,25,75,10,25,2.6153846153846154,0.84,0.48,12,13,11,1,13
0,0.5,5,25,75,25,24,2.8333333333333335,0.9166666666666666,0.5,12,12,11,1,12
0,0.5,5,25,75,50,22,2.5,0.8181818181818182,0.45454545454545453,10,12,10,0,12
0,0.5,10,20,50,10,34,2.6470588235294117,0.8235294117647058,0.5,17,17,14,3,17
