entry_i,exit_i,dir,R,bars,entry,outcome,entry_t,exit_t,fold
2171,2265,1,-1.0,94,3302.09,SL,2025-05-21 07:00:00,2025-05-27 13:00:00,0
2265,2287,-1,-1.0,22,3293.23,SL,2025-05-27 13:00:00,2025-05-28 12:00:00,0
2305,2312,-1,-1.0,7,3269.09,SL,2025-05-29 07:00:00,2025-05-29 14:00:00,0
2355,2453,1,-1.0,98,3352.08,SL,2025-06-02 11:00:00,2025-06-06 17:00:00,0
2466,2496,-1,-1.0,30,3311.69,SL,2025-06-09 07:00:00,2025-06-10 14:00:00,0
2535,2538,1,-1.0,3,3370.44,SL,2025-06-12 07:00:00,2025-06-12 10:00:00,0
2560,2603,1,-1.0,43,3416.22,SL,2025-06-13 09:00:00,2025-06-17 06:00:00,0
2671,2678,-1,-1.0,7,3345.33,SL,2025-06-20 09:00:00,2025-06-20 16:00:00,0
2720,2830,-1,-1.0,110,3318.45,SL,2025-06-24 12:00:00,2025-07-01 07:00:00,0
2830,2914,1,-1.0,84,3322.92,SL,2025-07-01 07:00:00,2025-07-07 07:00:00,0
2914,2927,-1,-1.0,13,3307.69,SL,2025-07-07 07:00:00,2025-07-07 20:00:00,0
2960,2975,-1,-1.0,15,3293.95,SL,2025-07-09 07:00:00,2025-07-09 22:00:00,0
3014,3063,1,-1.0,49,3355.09,SL,2025-07-11 15:00:00,2025-07-15 18:00:00,0
3148,3176,1,3.0,28,3365.92,WIN,2025-07-21 11:00:00,2025-07-22 16:00:00,0
3176,3202,1,-1.0,26,3412.33,SL,2025-07-22 16:00:00,2025-07-23 19:00:00,0
3216,3316,-1,3.0,100,3367.75,WIN,2025-07-24 10:00:00,2025-07-30 18:00:00,0
3374,3522,1,-1.0,148,3358.97,SL,2025-08-04 07:00:00,2025-08-12 17:00:00,0
3650,3658,-1,-1.0,8,3318.67,SL,2025-08-20 07:00:00,2025-08-20 15:00:00,0
3719,3803,1,3.0,84,3366.05,WIN,2025-08-25 07:00:00,2025-08-28 22:00:00,0
3821,3851,1,3.0,30,3440.9,WIN,2025-08-29 17:00:00,2025-09-02 04:00:00,0
3854,3858,1,-1.0,4,3496.72,SL,2025-09-02 07:00:00,2025-09-02 11:00:00,0
3879,3952,1,3.0,73,3535.32,WIN,2025-09-03 09:00:00,2025-09-08 13:00:00,0
3952,4094,1,3.0,142,3616.97,WIN,2025-09-08 13:00:00,2025-09-16 17:00:00,0
4094,4113,1,-1.0,19,3686.29,SL,2025-09-16 17:00:00,2025-09-17 13:00:00,0
4176,4203,1,3.0,27,3692.19,WIN,2025-09-22 07:00:00,2025-09-23 11:00:00,0
4180,4291,1,3.0,111,3720.42,WIN,2025-09-22 11:00:00,2025-09-29 07:00:00,1
4291,4401,1,3.0,110,3805.03,WIN,2025-09-29 07:00:00,2025-10-06 02:00:00,1
4406,4457,1,3.0,51,3938.63,WIN,2025-10-06 07:00:00,2025-10-08 12:00:00,1
4457,4469,1,-1.0,12,4049.33,SL,2025-10-08 12:00:00,2025-10-09 01:00:00,1
4524,4588,1,3.0,64,4071.15,WIN,2025-10-13 10:00:00,2025-10-16 05:00:00,1
4590,4607,1,3.0,17,4233.4,WIN,2025-10-16 07:00:00,2025-10-17 01:00:00,1
4682,4941,-1,1.0,259,4128.14,TP,2025-10-22 07:00:00,2025-11-06 13:00:00,1
4941,4945,1,-1.0,4,4018.06,SL,2025-11-06 13:00:00,2025-11-06 17:00:00,1
4991,5039,1,3.0,48,4084.78,WIN,2025-11-10 17:00:00,2025-11-12 19:00:00,1
5050,5063,1,-1.0,13,4212.07,SL,2025-11-13 07:00:00,2025-11-13 20:00:00,1
5100,5228,-1,-1.0,128,4082.07,SL,2025-11-17 11:00:00,2025-11-25 01:00:00,1
5234,5516,1,3.0,282,4150.96,WIN,2025-11-25 07:00:00,2025-12-11 19:00:00,1
5527,5662,1,3.0,135,4279.2,WIN,2025-12-12 07:00:00,2025-12-22 04:00:00,1
5665,5703,1,3.0,38,4400.13,WIN,2025-12-22 07:00:00,2025-12-23 22:00:00,1
5729,5747,1,-1.0,18,4508.89,SL,2025-12-26 14:00:00,2025-12-29 09:00:00,1
5828,5935,1,3.0,107,4430.08,WIN,2026-01-05 10:00:00,2026-01-12 02:00:00,1
5940,6083,1,3.0,143,4580.94,WIN,2026-01-12 07:00:00,2026-01-20 16:00:00,1
6083,6096,1,3.0,13,4741.11,WIN,2026-01-20 16:00:00,2026-01-21 06:00:00,1
6143,6147,1,-1.0,4,4960.62,SL,2026-01-23 07:00:00,2026-01-23 11:00:00,1
6212,6229,1,3.0,17,5261.21,WIN,2026-01-28 07:00:00,2026-01-29 01:00:00,1
6281,6305,-1,-1.0,24,4549.28,SL,2026-02-02 07:00:00,2026-02-03 08:00:00,2
6331,6337,1,-1.0,6,5059.81,SL,2026-02-04 11:00:00,2026-02-04 17:00:00,2
6533,6563,-1,-1.0,30,4920.63,SL,2026-02-17 10:00:00,2026-02-18 17:00:00,2
6622,6731,1,3.0,109,5158.3,WIN,2026-02-23 07:00:00,2026-03-02 01:00:00,2
6737,6748,1,-1.0,11,5366.03,SL,2026-03-02 07:00:00,2026-03-02 18:00:00,2
6968,7038,-1,3.0,70,5017.34,WIN,2026-03-16 07:00:00,2026-03-19 08:00:00,2
7038,7045,-1,3.0,7,4763.8,WIN,2026-03-19 08:00:00,2026-03-19 15:00:00,2
7088,7090,-1,-1.0,2,4268.98,SL,2026-03-23 12:00:00,2026-03-23 14:00:00,2
7243,7267,1,-1.0,24,4676.39,SL,2026-04-01 07:00:00,2026-04-02 08:00:00,2
7335,7349,1,-1.0,14,4803.62,SL,2026-04-08 07:00:00,2026-04-08 21:00:00,2
7450,7493,1,-1.0,43,4824.91,SL,2026-04-15 07:00:00,2026-04-17 04:00:00,2
7659,7761,-1,3.0,102,4628.9,WIN,2026-04-28 09:00:00,2026-05-04 19:00:00,2
7795,7956,1,-1.0,161,4648.97,SL,2026-05-06 07:00:00,2026-05-15 07:00:00,2
7956,8142,-1,3.0,186,4605.93,WIN,2026-05-15 07:00:00,2026-05-27 13:00:00,2
8144,8171,-1,-1.0,27,4438.59,SL,2026-05-27 15:00:00,2026-05-28 19:00:00,2
