trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,swept_level,sweep_side,target_mode,fill_depth
1,EURUSD,long,1711977140,1711977460,1.07804,1.0779,1.07829,7.04,sl_hit,-98.56,-17.6,0.0,-116.16,-1.0,1.07846,-1,DOL,0.0
2,EURUSD,short,1712063500,1712063560,1.07501,1.07529,1.07428,3.51,sl_hit,-98.28,-8.78,0.0,-107.06,-1.0,1.07387,1,DOL,0.0
3,EURUSD,short,1712149540,1712150420,1.07842,1.0787,1.07793,3.44,sl_hit,-96.32,-8.6,0.0,-104.91999999999999,-1.0,1.07793,1,DOL,0.0
4,EURUSD,short,1712235760,1712235779,1.08685,1.08698,1.08626,7.23,sl_hit,-93.99,-18.08,0.0,-112.07,-1.0,0.0,0,DOL,0.0
5,EURUSD,short,1712584300,1712584540,1.0848200000000001,1.0851,1.08432,3.41,sl_hit,-95.48,-8.53,0.0,-104.01,-1.0,1.08377,1,DOL,0.0
6,EURUSD,long,1712755180,1712756260,1.07696,1.07622,1.08477,1.27,sl_hit,-93.98,-3.18,0.0,-97.16000000000001,-1.0,1.08507,-1,DOL,0.0
7,EURUSD,long,1712842840,1712842900,1.0737,1.07273,1.07381,0.95,tp_hit,10.45,-2.38,0.0,8.07,0.11340206185548131,1.07381,-1,DOL,0.0
8,EURUSD,long,1712927920,1712927980,1.06365,1.06328,1.06706,2.52,sl_hit,-93.24,-6.3,0.0,-99.53999999999999,-1.0,1.07151,-1,DOL,0.0
9,EURUSD,long,1713186940,1713187420,1.06527,1.06467,1.06548,1.53,sl_hit,-91.8,-3.83,0.0,-95.63,-1.0,1.06498,-1,DOL,0.0
10,EURUSD,short,1713360100,1713360580,1.06421,1.06466,1.06355,2.03,sl_hit,-91.35,-5.08,0.0,-96.42999999999999,-1.0,1.06355,1,DOL,0.0
11,EURUSD,long,1713445660,1713445880,1.06649,1.06601,1.06748,1.88,sl_hit,-90.24,-4.7,0.0,-94.94,-1.0,1.06641,-1,DOL,0.0
12,EURUSD,short,1713532720,1713533080,1.06646,1.06682,1.06592,2.45,sl_hit,-88.2,-6.13,0.0,-94.33,-1.0,1.06444,1,DOL,0.0
13,EURUSD,long,1713792460,1713792520,1.0631599999999999,1.06282,1.06473,2.58,sl_hit,-87.72,-6.45,0.0,-94.17,-1.0,1.06526,-1,DOL,0.0
14,EURUSD,short,1713879940,1713879959,1.06702,1.06721,1.06606,4.47,sl_hit,-84.93,-11.18,0.0,-96.11000000000001,-1.0,0.0,0,DOL,0.0
15,EURUSD,long,1713964060,1713967600,1.06876,1.06836,1.07001,2.13,tp_hit,266.25,-5.33,0.0,260.92,3.1250000000002776,1.07001,-1,DOL,0.0
16,EURUSD,long,1714050220,1714050239,1.0695000000000001,1.06905,1.06968,1.95,sl_hit,-87.75,-4.88,0.0,-92.63,-1.0,0.0,0,DOL,0.0
17,EURUSD,long,1714136620,1714136740,1.07187,1.07158,1.07256,2.9699999999999998,sl_hit,-86.13,-7.43,0.0,-93.56,-1.0,1.07184,-1,DOL,0.0
18,EURUSD,long,1714395880,1714397260,1.07043,1.06986,1.07061,1.5,sl_hit,-85.5,-3.75,0.0,-89.25,-1.0,1.07061,-1,DOL,0.0
19,EURUSD,long,1714482500,1714482940,1.07032,1.06935,1.07122,0.88,tp_hit,79.2,-2.2,0.0,77.0,0.9278350515465994,1.07025,-1,DOL,0.0
20,EURUSD,short,1714568680,1714569040,1.06817,1.06854,1.06705,2.31,sl_hit,-85.47,-5.78,0.0,-91.25,-1.0,1.06671,1,DOL,0.0
21,EURUSD,long,1714655840,1714657000,1.06946,1.06914,1.06998,2.68,sl_hit,-85.76,-6.7,0.0,-92.46000000000001,-1.0,1.07068,-1,DOL,0.0
22,EURUSD,short,1715000980,1715008360,1.07857,1.07891,1.07761,2.46,tp_hit,236.16,-6.15,0.0,230.01,2.8235294117648597,1.07715,1,DOL,0.0
23,EURUSD,short,1715087020,1715087039,1.07752,1.07771,1.07695,4.49,sl_hit,-85.31,-11.23,0.0,-96.54,-1.0,0.0,0,DOL,0.0
24,EURUSD,short,1715174140,1715174200,1.075,1.07522,1.07491,3.87,tp_hit,34.83,-9.68,0.0,25.15,0.40909090909035856,1.07491,1,DOL,0.0
25,EURUSD,short,1715260840,1715261200,1.07565,1.07592,1.07516,3.22,sl_hit,-86.94,-8.05,0.0,-94.99,-1.0,1.07516,1,DOL,0.0
26,EURUSD,long,1715346520,1715346580,1.07712,1.07694,1.07715,4.75,tp_hit,14.25,-11.88,0.0,2.369999999999999,0.16666666666646107,1.07732,-1,DOL,0.0
27,EURUSD,short,1715606800,1715607040,1.08023,1.08045,1.07845,3.85,sl_hit,-84.7,-9.63,0.0,-94.33,-1.0,1.07732,1,DOL,0.0
28,EURUSD,short,1715778280,1715778340,1.08583,1.0862,1.08346,2.22,sl_hit,-82.14,-5.55,0.0,-87.69,-1.0,1.08276,1,DOL,0.0
29,EURUSD,long,1715865460,1715866120,1.08605,1.08586,1.08663,4.41,tp_hit,255.78,-11.03,0.0,244.75,3.052631578948906,1.08813,-1,DOL,0.0
30,EURUSD,long,1716210280,1716215560,1.08597,1.08572,1.08689,3.37,tp_hit,310.04,-8.43,0.0,301.61,3.6799999999980106,1.08689,-1,DOL,0.0
31,EURUSD,long,1716299380,1716299560,1.08504,1.08421,1.08509,1.06,tp_hit,5.3,-2.65,0.0,2.65,0.060240963855540945,1.08509,-1,DOL,0.0
32,EURUSD,long,1716383860,1716397600,1.08331,1.08315,1.08462,5.39,tp_hit,706.09,-13.48,0.0,692.61,8.18750000000269,1.08536,-1,DOL,0.0
33,EURUSD,long,1716816440,1716816580,1.08477,1.08442,1.08521,2.7,tp_hit,118.8,-6.75,0.0,112.05,1.2571428571425853,1.08465,-1,DOL,0.0
34,EURUSD,long,1716988660,1716989740,1.08368,1.08336,1.08456,2.96,sl_hit,-94.72,-7.4,0.0,-102.12,-1.0,1.08456,-1,DOL,0.0
35,EURUSD,short,1717074640,1717078000,1.08316,1.08339,1.08185,4.14,sl_hit,-95.22,-10.35,0.0,-105.57,-1.0,1.08045,1,DOL,0.0
36,EURUSD,short,1717160540,1717185600,1.08796,1.08811,1.08384,6.26,forced_eod,1784.1,-15.65,0.0,1768.4499999999998,19.000000000016282,1.08335,1,DOL,0.0
37,EURUSD,long,1717420060,1717420600,1.08461,1.0844,1.08493,5.31,tp_hit,169.92,-13.28,0.0,156.64,1.5238095238086176,1.08493,-1,DOL,0.0
38,EURUSD,short,1717592800,1717593760,1.08844,1.08867,1.08801,4.87,sl_hit,-112.01,-12.18,0.0,-124.19,-1.0,1.08801,1,DOL,0.0
39,EURUSD,long,1717679920,1717681180,1.08759,1.08717,1.08882,2.61,tp_hit,321.03,-6.53,0.0,314.5,2.928571428570447,1.08738,-1,DOL,0.0
40,EURUSD,long,1717765600,1717768080,1.08244,1.08206,1.0883099999999999,2.9699999999999998,sl_hit,-112.86,-7.43,0.0,-120.28999999999999,-1.0,1.08867,-1,DOL,0.0
41,EURUSD,long,1718025880,1718026120,1.07435,1.07399,1.07478,3.12,sl_hit,-112.32,-7.8,0.0,-120.11999999999999,-1.0,1.07554,-1,DOL,0.0
42,EURUSD,long,1718111500,1718111860,1.07312,1.07272,1.07434,2.79,sl_hit,-111.6,-6.98,0.0,-118.58,-1.0,1.07612,-1,DOL,0.0
43,EURUSD,long,1718284180,1718285200,1.07931,1.07888,1.08008,2.56,tp_hit,197.12,-6.4,0.0,190.72,1.7906976744187488,1.08037,-1,DOL,0.0
44,EURUSD,long,1718372920,1718373040,1.0672,1.06684,1.06898,3.09,sl_hit,-111.24,-7.73,0.0,-118.97,-1.0,1.07354,-1,DOL,0.0
45,EURUSD,short,1718631160,1718633300,1.0718,1.0721,1.07122,3.66,tp_hit,212.28,-9.15,0.0,203.13,1.9333333333336293,1.0707200000000001,1,DOL,0.0
46,EURUSD,short,1718720020,1718720260,1.07459,1.075,1.07408,2.7199999999999998,sl_hit,-111.52,-6.8,0.0,-118.32,-1.0,1.07352,1,DOL,0.0
47,EURUSD,short,1718803180,1718803720,1.07467,1.07484,1.07424,6.55,tp_hit,281.65,-16.38,0.0,265.27,2.5294117647054213,1.07424,1,DOL,0.0
48,EURUSD,long,1718889120,1718896220,1.07206,1.07162,1.07384,2.56,sl_hit,-112.64,-6.4,0.0,-119.04,-1.0,1.07389,-1,DOL,0.0
49,EURUSD,long,1718974940,1718975380,1.06957,1.06941,1.07033,7.2,sl_hit,-115.2,-18.0,0.0,-133.2,-1.0,1.07033,-1,DOL,0.0
50,EURUSD,short,1719234880,1719235000,1.07372,1.07394,1.07178,5.02,sl_hit,-110.44,-12.55,0.0,-122.99,-1.0,1.06935,1,DOL,0.0
51,EURUSD,long,1719321560,1719322060,1.07069,1.07049,1.07209,5.46,sl_hit,-109.2,-13.65,0.0,-122.85000000000001,-1.0,1.07319,-1,DOL,0.0
52,EURUSD,long,1719407260,1719407560,1.06801,1.06761,1.06852,2.7199999999999998,sl_hit,-108.8,-6.8,0.0,-115.6,-1.0,1.07062,-1,DOL,0.0
53,EURUSD,short,1719493660,1719493900,1.07206,1.07231,1.06991,4.21,sl_hit,-105.25,-10.53,0.0,-115.78,-1.0,1.06923,1,DOL,0.0
54,EURUSD,short,1719580600,1719586080,1.07035,1.07081,1.0689899999999999,2.2800000000000002,sl_hit,-104.88,-5.7,0.0,-110.58,-1.0,1.0704,1,DOL,0.0
