trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,swept_level,sweep_side,target_mode,fill_depth
1,EURUSD,long,1759332400,1759334440,1.17285,1.17209,1.17437,1.31,sl_hit,-99.56,-3.2800000000000002,0.0,-102.84,-1.0,1.17296,-1,RR,0.0
2,EURUSD,long,1759413640,1759413940,1.1719,1.1713,1.17311,1.63,sl_hit,-97.8,-4.08,0.0,-101.88,-1.0,1.17238,-1,RR,0.0
3,EURUSD,short,1759500640,1759514020,1.17509,1.17597,1.17333,1.11,tp_hit,195.36,-2.7800000000000002,0.0,192.58,2.0,1.17446,1,RR,0.0
4,EURUSD,long,1759842640,1759842880,1.16676,1.16638,1.1675200000000001,2.63,sl_hit,-99.94,-6.58,0.0,-106.52,-1.0,1.16651,-1,RR,0.0
5,EURUSD,long,1760018440,1760019760,1.15976,1.15911,1.16106,1.52,sl_hit,-98.8,-3.8,0.0,-102.6,-1.0,1.16031,-1,RR,0.0
6,EURUSD,short,1760109220,1760109880,1.16093,1.16225,1.1583,0.74,sl_hit,-97.68,-1.85,0.0,-99.53,-1.0,1.15895,1,RR,0.0
7,EURUSD,short,1760453560,1760453860,1.159,1.15968,1.15763,1.41,sl_hit,-95.88,-3.5300000000000002,0.0,-99.41,-1.0,1.15895,1,RR,0.0
8,EURUSD,short,1760626940,1760627120,1.16766,1.16783,1.16731,5.47,tp_hit,191.45,-13.68,0.0,177.76999999999998,2.0588235294108426,1.16754,1,RR,0.0
9,EURUSD,long,1760707700,1760709340,1.16751,1.16719,1.16815,3.04,sl_hit,-97.28,-7.6,0.0,-104.88,-1.0,1.16915,-1,RR,0.0
10,EURUSD,long,1760967100,1760967460,1.16516,1.16464,1.1662,1.83,sl_hit,-95.16,-4.58,0.0,-99.74,-1.0,1.16537,-1,RR,0.0
11,EURUSD,long,1761052520,1761054400,1.1611,1.16076,1.1617899999999999,2.75,sl_hit,-93.5,-6.88,0.0,-100.38,-1.0,1.16128,-1,RR,0.0
12,EURUSD,long,1761138200,1761138400,1.1586,1.15829,1.15923,3.0,sl_hit,-93.0,-7.5,0.0,-100.5,-1.0,1.1589800000000001,-1,RR,0.0
13,EURUSD,short,1761227320,1761228220,1.16048,1.16109,1.15927,1.53,sl_hit,-93.33,-3.83,0.0,-97.16,-1.0,1.16076,1,RR,0.0
14,EURUSD,short,1761570800,1761571840,1.16479,1.1651799999999999,1.16402,2.38,tp_hit,183.26,-5.95,0.0,177.31,1.9743589743593686,1.16476,1,RR,0.0
15,EURUSD,long,1761660040,1761660220,1.16395,1.16346,1.16493,1.9,sl_hit,-93.1,-4.75,0.0,-97.85,-1.0,1.16462,-1,RR,0.0
16,EURUSD,long,1761829700,1761830020,1.15978,1.15948,1.16039,3.03,sl_hit,-90.9,-7.58,0.0,-98.48,-1.0,1.15966,-1,RR,0.0
17,EURUSD,long,1761917560,1761919240,1.15586,1.15531,1.15696,1.6600000000000001,sl_hit,-91.3,-4.15,0.0,-95.45,-1.0,1.1555,-1,RR,0.0
18,EURUSD,long,1762265020,1762265080,1.14934,1.14908,1.14987,3.44,sl_hit,-89.44,-8.6,0.0,-98.03999999999999,-1.0,1.14982,-1,RR,0.0
19,EURUSD,long,1762354840,1762355080,1.14711,1.14687,1.14759,3.73,tp_hit,179.04,-9.33,0.0,169.70999999999998,2.0,1.14796,-1,RR,0.0
20,EURUSD,short,1762527260,1762527640,1.15759,1.15791,1.15694,2.8,sl_hit,-89.6,-7.0,0.0,-96.6,-1.0,1.1543,1,RR,0.0
21,EURUSD,short,1762871140,1762871260,1.16033,1.16051,1.15997,4.96,tp_hit,178.56,-12.4,0.0,166.16,2.0000000000024674,1.15685,1,RR,0.0
22,EURUSD,long,1762957440,1762957640,1.15648,1.1562999999999999,1.15685,4.99,sl_hit,-89.82,-12.48,0.0,-102.3,-1.0,1.15683,-1,RR,0.0
23,EURUSD,short,1763049100,1763051260,1.16404,1.16436,1.16341,2.85,sl_hit,-91.2,-7.13,0.0,-98.33,-1.0,1.16349,1,RR,0.0
24,EURUSD,long,1763134180,1763134660,1.16184,1.16149,1.16253,2.58,sl_hit,-90.3,-6.45,0.0,-96.75,-1.0,1.16204,-1,RR,0.0
25,EURUSD,long,1763388240,1763390200,1.15928,1.15905,1.15975,3.7800000000000002,sl_hit,-86.94,-9.45,0.0,-96.39,-1.0,1.15964,-1,RR,0.0
26,EURUSD,short,1763480200,1763480740,1.1605,1.1608,1.1599,2.88,tp_hit,172.8,-7.2,0.0,165.60000000000002,2.0000000000007403,1.16064,1,RR,0.0
27,EURUSD,long,1763562520,1763564140,1.156,1.15565,1.1567,2.52,sl_hit,-88.2,-6.3,0.0,-94.5,-1.0,1.15656,-1,RR,0.0
28,EURUSD,short,1763647660,1763648860,1.15309,1.15384,1.1515900000000001,1.16,sl_hit,-87.0,-2.9,0.0,-89.9,-1.0,1.1535199999999999,1,RR,0.0
29,EURUSD,long,1763736340,1763736640,1.15091,1.15051,1.1517,2.19,tp_hit,173.01,-5.48,0.0,167.53,1.974999999998737,1.1525,-1,RR,0.0
30,EURUSD,short,1763993300,1763993740,1.15393,1.1541299999999999,1.15353,4.37,tp_hit,174.8,-10.93,0.0,163.87,2.0,1.15344,1,RR,0.0
31,EURUSD,short,1764081880,1764082120,1.1566,1.15692,1.15595,2.77,sl_hit,-88.64,-6.93,0.0,-95.57,-1.0,1.15366,1,RR,0.0
32,EURUSD,short,1764345740,1764346120,1.16048,1.16079,1.15985,2.84,tp_hit,178.92,-7.1,0.0,171.82,2.0322580645156205,1.15987,1,RR,0.0
33,EURUSD,short,1764771080,1764771400,1.16658,1.16672,1.16629,6.31,tp_hit,182.99,-15.78,0.0,167.21,2.0714285714274387,1.16528,1,RR,0.0
34,EURUSD,long,1764945440,1764945820,1.16489,1.16452,1.16563,2.49,tp_hit,184.26,-6.23,0.0,178.03,2.0,1.16463,-1,RR,0.0
35,EURUSD,long,1765206820,1765206880,1.1634,1.1631,1.16401,3.09,sl_hit,-92.7,-7.73,0.0,-100.43,-1.0,1.16458,-1,RR,0.0
36,EURUSD,long,1765289020,1765289580,1.16355,1.16331,1.16403,3.83,sl_hit,-91.92,-9.58,0.0,-101.5,-1.0,1.1633499999999999,-1,RR,0.0
37,EURUSD,short,1765463740,1765463860,1.17429,1.17475,1.17338,2.0,sl_hit,-92.0,-5.0,0.0,-97.0,-1.0,1.17074,1,RR,0.0
38,EURUSD,long,1765548380,1765550380,1.17277,1.17228,1.17375,1.85,tp_hit,181.3,-4.63,0.0,176.67000000000002,1.9999999999995468,1.17268,-1,RR,0.0
39,EURUSD,short,1765893940,1765894960,1.17751,1.17795,1.17662,2.08,sl_hit,-91.52,-5.2,0.0,-96.72,-1.0,1.1764000000000001,1,RR,0.0
40,EURUSD,short,1765986560,1766004940,1.17526,1.17586,1.17407,1.53,tp_hit,182.07,-3.83,0.0,178.23999999999998,1.9833333333335923,1.17523,1,RR,0.0
41,EURUSD,short,1766066980,1766071060,1.17472,1.17564,1.17287,1.0,tp_hit,185.0,-2.5,0.0,182.5,2.0108695652172206,1.17496,1,RR,0.0
42,EURUSD,short,1766154280,1766154400,1.17341,1.1736900000000001,1.17285,3.38,sl_hit,-94.64,-8.45,0.0,-103.09,-1.0,1.17289,1,RR,0.0
43,EURUSD,long,1766505100,1766505520,1.17666,1.17635,1.17728,3.02,tp_hit,187.24,-7.55,0.0,179.69,2.0,1.17657,-1,RR,0.0
44,EURUSD,long,1766588980,1766590000,1.17797,1.1777,1.17851,3.5300000000000002,sl_hit,-95.31,-8.83,0.0,-104.14,-1.0,1.1779600000000001,-1,RR,0.0
45,EURUSD,short,1766758240,1766758760,1.17931,1.17947,1.17899,5.82,tp_hit,186.24,-14.55,0.0,171.69,2.000000000001388,1.17935,1,RR,0.0
