trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,swept_level,sweep_side,target_mode,fill_depth
1,EURUSD,long,1704205640,1704211060,1.09514,1.09445,1.10106,1.44,sl_hit,-99.36,-3.6,0.0,-102.96,-1.0,1.10106,-1,DOL,0.0
2,EURUSD,long,1704292180,1704292600,1.09157,1.09105,1.09347,1.9100000000000001,sl_hit,-99.32,-4.78,0.0,-104.1,-1.0,1.09347,-1,DOL,0.0
3,EURUSD,short,1704468340,1704473860,1.0990199999999999,1.09993,1.09559,1.07,tp_hit,367.01,-2.68,0.0,364.33,3.769230769229793,1.09559,1,DOL,0.0
4,EURUSD,short,1704723980,1704724480,1.09563,1.096,1.09531,2.71,sl_hit,-100.27,-6.78,0.0,-107.05,-1.0,1.09531,1,DOL,0.0
5,EURUSD,short,1704901240,1704901259,1.09584,1.09603,1.09518,5.42,sl_hit,-102.98,-13.55,0.0,-116.53,-1.0,0.0,0,DOL,0.0
6,EURUSD,long,1704982160,1704983140,1.0936,1.09306,1.09588,1.8199999999999998,tp_hit,414.96,-4.55,0.0,410.40999999999997,4.222222222222451,1.09588,-1,DOL,0.0
7,EURUSD,long,1705068520,1705068800,1.09586,1.09529,1.09608,1.81,sl_hit,-103.17,-4.53,0.0,-107.7,-1.0,1.09608,-1,DOL,0.0
8,EURUSD,long,1705329380,1705329580,1.09403,1.09385,1.0943,5.73,tp_hit,154.71,-14.33,0.0,140.38,1.4999999999993832,1.0943,-1,DOL,0.0
9,EURUSD,long,1705415800,1705416640,1.08772,1.08706,1.08838,1.56,sl_hit,-102.96,-3.9,0.0,-106.86,-1.0,1.08838,-1,DOL,0.0
10,EURUSD,long,1705502500,1705502680,1.08617,1.08568,1.08844,2.06,sl_hit,-100.94,-5.15,0.0,-106.09,-1.0,1.08585,-1,DOL,0.0
11,EURUSD,long,1705586620,1705589020,1.08557,1.08516,1.08765,2.43,sl_hit,-99.63,-6.08,0.0,-105.71,-1.0,1.08765,-1,DOL,0.0
12,EURUSD,long,1705932940,1705934660,1.08881,1.08855,1.0909200000000001,3.7800000000000002,sl_hit,-98.28,-9.45,0.0,-107.73,-1.0,1.08871,-1,DOL,0.0
