trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,swept_level,sweep_side,target_mode,fill_depth
1,US100.cash,long,1711977100,1711977160,18288.3,18283.97,18340.3,23.08,sl_hit,-99.94,0.0,0.0,-99.94,-1.0,18340.3,-1,DOL,0.0
2,US100.cash,long,1712064220,1712064320,18076.4,18067.07,18240.6,10.6,sl_hit,-98.9,0.0,0.0,-98.9,-1.0,18240.6,-1,DOL,0.0
3,US100.cash,short,1712236580,1712237740,18344.1,18351.21,18260.2,13.78,sl_hit,-97.98,0.0,0.0,-97.98,-1.0,18260.2,1,DOL,0.0
4,US100.cash,short,1712322320,1712323940,17956.9,17982.27,17864.7,3.82,sl_hit,-96.91,0.0,0.0,-96.91,-1.0,17957.9,1,DOL,0.0
5,US100.cash,short,1712586640,1712586760,18159.8,18170.93,18149.5,8.63,sl_hit,-96.05,0.0,0.0,-96.05,-1.0,18149.5,1,DOL,0.0
6,US100.cash,short,1712668060,1712668480,18168.3,18177.2,18141.0,10.68,sl_hit,-95.05,0.0,0.0,-95.05,-1.0,18141.0,1,DOL,0.0
7,US100.cash,short,1712840680,1712840800,18074.55,18089.74,18041.15,6.2,sl_hit,-94.18,0.0,0.0,-94.18,-1.0,18041.15,1,DOL,0.0
8,US100.cash,long,1712928460,1712928500,18116.75,18108.17,18265.85,10.86,sl_hit,-93.18,0.0,0.0,-93.18,-1.0,18265.85,-1,DOL,0.0
9,US100.cash,short,1713187720,1713188020,18165.75,18177.56,18117.15,7.8100000000000005,tp_hit,379.57,0.0,0.0,379.57,4.11515664690882,18117.15,1,DOL,0.0
10,US100.cash,short,1713273820,1713275920,17718.65,17740.61,17630.25,4.37,sl_hit,-95.97,0.0,0.0,-95.97,-1.0,17727.55,1,DOL,0.0
11,US100.cash,short,1713360740,1713360760,17790.95,17807.33,17775.15,5.8,tp_hit,91.64,0.0,0.0,91.64,0.9645909645908601,0.0,0,DOL,0.0
