trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,swept_level,sweep_side,target_mode,fill_depth
1,US100.cash,long,1704205820,1704206080,16664.6,16647.35,16800.5,5.79,sl_hit,-99.88,0.0,0.0,-99.88,-1.0,16800.5,-1,DOL,0.0
2,US100.cash,long,1704290560,1704290620,16448.2,16441.09,16466.5,13.93,sl_hit,-99.04,0.0,0.0,-99.04,-1.0,16466.5,-1,DOL,0.0
3,US100.cash,long,1704377380,1704378400,16293.6,16284.77,16373.1,11.1,sl_hit,-98.01,0.0,0.0,-98.01,-1.0,16373.1,-1,DOL,0.0
4,US100.cash,short,1704465700,1704466840,16305.8,16337.8,16232.4,3.03,sl_hit,-96.96,0.0,0.0,-96.96,-1.0,16309.3,1,DOL,0.0
5,US100.cash,short,1704726800,1704727220,16476.2,16489.04,16343.6,7.48,sl_hit,-96.04,0.0,0.0,-96.04,-1.0,16343.6,1,DOL,0.0
6,US100.cash,long,1704809140,1704811460,16512.7,16506.73,16563.6,15.92,sl_hit,-95.04,0.0,0.0,-95.04,-1.0,16563.6,-1,DOL,0.0
7,US100.cash,long,1704898600,1704898960,16660.0,16653.58,16750.4,14.66,sl_hit,-94.12,0.0,0.0,-94.12,-1.0,16655.7,-1,DOL,0.0
8,US100.cash,long,1704985480,1704985499,16767.1,16753.81,16825.1,7.01,sl_hit,-93.16,0.0,0.0,-93.16,-1.0,0.0,0,DOL,0.0
9,US100.cash,short,1705068640,1705069060,16823.2,16837.34,16772.8,6.52,sl_hit,-92.19,0.0,0.0,-92.19,-1.0,16834.6,1,DOL,0.0
10,US100.cash,long,1705330120,1705330240,16802.7,16796.96,16805.3,15.92,tp_hit,41.39,0.0,0.0,41.39,0.4529616724734878,16805.3,-1,DOL,0.0
11,US100.cash,short,1705417300,1705417420,16784.2,16808.57,16778.0,3.76,tp_hit,23.31,0.0,0.0,23.31,0.25441116126388946,16778.0,1,DOL,0.0
12,US100.cash,long,1705501720,1705501900,16683.9,16675.72,16828.2,11.24,sl_hit,-91.94,0.0,0.0,-91.94,-1.0,16681.7,-1,DOL,0.0
13,US100.cash,short,1705587740,1705588240,16870.8,16895.36,16806.8,3.7,sl_hit,-90.87,0.0,0.0,-90.87,-1.0,16806.8,1,DOL,0.0
14,US100.cash,short,1705680160,1705680340,17094.2,17114.47,17004.9,4.44,sl_hit,-90.0,0.0,0.0,-90.0,-1.0,17109.1,1,DOL,0.0
15,US100.cash,long,1705932820,1705932880,17386.5,17381.6,17436.6,18.21,sl_hit,-89.23,0.0,0.0,-89.23,-1.0,17386.3,-1,DOL,0.0
16,US100.cash,short,1706105260,1706105320,17538.2,17544.75,17441.9,13.49,sl_hit,-88.36,0.0,0.0,-88.36,-1.0,17540.9,1,DOL,0.0
17,US100.cash,long,1706623760,1706624140,17551.5,17545.73,17553.8,15.15,sl_hit,-87.42,0.0,0.0,-87.42,-1.0,17553.8,-1,DOL,0.0
18,US100.cash,short,1706800540,1706801320,17250.0,17265.12,17166.1,5.73,sl_hit,-86.64,0.0,0.0,-86.64,-1.0,17258.4,1,DOL,0.0
19,US100.cash,long,1706882560,1706882620,17405.4,17394.35,17484.3,7.76,sl_hit,-85.75,0.0,0.0,-85.75,-1.0,17484.3,-1,DOL,0.0
20,US100.cash,short,1707144020,1707145480,17622.6,17647.12,17570.0,3.46,tp_hit,182.0,0.0,0.0,182.0,2.1451876019574883,17633.2,1,DOL,0.0
21,US100.cash,long,1707230720,1707230920,17634.1,17610.57,17679.4,3.68,sl_hit,-86.59,0.0,0.0,-86.59,-1.0,17616.0,-1,DOL,0.0
22,US100.cash,short,1707315280,1707315440,17672.0,17677.78,17626.6,14.86,sl_hit,-85.89,0.0,0.0,-85.89,-1.0,17626.6,1,DOL,0.0
23,US100.cash,long,1707401680,1707401720,17738.5,17734.02,17739.3,18.95,sl_hit,-84.9,0.0,0.0,-84.9,-1.0,17739.3,-1,DOL,0.0
24,US100.cash,short,1707487340,1707487360,17847.3,17851.72,17846.4,19.05,tp_hit,17.15,0.0,0.0,17.15,0.20361990950168146,0.0,0,DOL,0.0
25,US100.cash,long,1707748900,1707752680,17945.4,17927.22,17979.4,4.63,tp_hit,157.42,0.0,0.0,157.42,1.8701870187018403,17937.4,-1,DOL,0.0
26,US100.cash,long,1707834100,1707834640,17563.6,17538.67,17785.2,3.44,sl_hit,-85.76,0.0,0.0,-85.76,-1.0,17785.2,-1,DOL,0.0
27,US100.cash,short,1707921940,1707923980,17708.9,17747.89,17595.0,2.18,sl_hit,-85.0,0.0,0.0,-85.0,-1.0,17722.0,1,DOL,0.0
28,US100.cash,long,1708010920,1708011580,17747.9,17730.48,17771.9,4.83,tp_hit,115.92,0.0,0.0,115.92,1.3777267508609297,17771.9,-1,DOL,0.0
29,US100.cash,long,1708096360,1708117200,17693.3,17650.46,17846.2,1.99,forced_eod,-16.72,0.0,0.0,-16.72,-0.1960784313724974,17846.2,-1,DOL,0.0
30,US100.cash,short,1708354180,1708383900,17740.0,17745.7,17676.2,14.94,forced_eod,270.41,0.0,4.28,274.69,3.1754385964905674,17740.6,1,DOL,0.0
31,US100.cash,long,1708442320,1708442800,17475.6,17447.78,17574.9,3.16,sl_hit,-87.91,0.0,0.0,-87.91,-1.0,17574.9,-1,DOL,0.0
32,US100.cash,long,1708524940,1708525060,17444.7,17437.72,17454.5,12.46,sl_hit,-86.97,0.0,0.0,-86.97,-1.0,17454.5,-1,DOL,0.0
33,US100.cash,short,1708697620,1708697800,18036.2,18042.59,18001.6,13.49,sl_hit,-86.2,0.0,0.0,-86.2,-1.0,18001.6,1,DOL,0.0
34,US100.cash,short,1708956580,1708957780,17961.7,17970.25,17946.9,9.97,sl_hit,-85.24,0.0,0.0,-85.24,-1.0,17946.9,1,DOL,0.0
35,US100.cash,long,1709132440,1709154000,17850.0,17832.33,17973.3,4.77,forced_eod,119.25,0.0,0.0,119.25,1.4148273910584308,17848.7,-1,DOL,0.0
36,US100.cash,short,1709216860,1709216960,17988.9,17998.09,17890.0,9.32,sl_hit,-85.65,0.0,0.0,-85.65,-1.0,17890.0,1,DOL,0.0
37,US100.cash,short,1709306480,1709306620,18141.7,18159.91,18123.0,4.65,tp_hit,86.96,0.0,0.0,86.96,1.026908292147261,18123.0,1,DOL,0.0
38,US100.cash,long,1709561620,1709562300,18295.0,18286.61,18340.4,10.21,sl_hit,-85.66,0.0,0.0,-85.66,-1.0,18294.4,-1,DOL,0.0
39,US100.cash,long,1709648500,1709649040,18100.3,18089.07,18195.6,7.54,sl_hit,-84.67,0.0,0.0,-84.67,-1.0,18091.1,-1,DOL,0.0
40,US100.cash,short,1709734000,1709734720,18060.9,18068.64,18033.8,10.85,sl_hit,-83.98,0.0,0.0,-83.98,-1.0,18033.8,1,DOL,0.0
41,US100.cash,short,1709821580,1709821780,18150.6,18162.17,18054.8,7.18,sl_hit,-83.07,0.0,0.0,-83.07,-1.0,18054.8,1,DOL,0.0
42,US100.cash,short,1709907040,1709909740,18328.3,18357.58,18238.7,2.81,sl_hit,-82.28,0.0,0.0,-82.28,-1.0,18334.9,1,DOL,0.0
43,US100.cash,long,1710162520,1710162580,17944.9,17933.93,17963.2,7.42,sl_hit,-81.4,0.0,0.0,-81.4,-1.0,17963.2,-1,DOL,0.0
44,US100.cash,long,1710254140,1710254680,17996.7,17940.16,18011.4,1.42,sl_hit,-80.29,0.0,0.0,-80.29,-1.0,18011.4,-1,DOL,0.0
45,US100.cash,long,1710337840,1710340240,18160.3,18151.88,18190.9,9.48,sl_hit,-79.82,0.0,0.0,-79.82,-1.0,18190.9,-1,DOL,0.0
46,US100.cash,short,1710422920,1710422960,18154.1,18158.16,18145.8,19.47,sl_hit,-79.05,0.0,0.0,-79.05,-1.0,18145.8,1,DOL,0.0
47,US100.cash,short,1710507760,1710508160,18026.1,18034.56,18018.3,9.25,tp_hit,72.15,0.0,0.0,72.15,0.9219858156024495,18018.3,1,DOL,0.0
48,US100.cash,short,1710768220,1710768580,18030.3,18039.94,17923.3,8.19,sl_hit,-78.95,0.0,0.0,-78.95,-1.0,17923.3,1,DOL,0.0
49,US100.cash,long,1710854440,1710854680,17864.1,17848.62,17905.3,5.05,sl_hit,-78.17,0.0,0.0,-78.17,-1.0,17905.3,-1,DOL,0.0
50,US100.cash,short,1710945040,1710945100,18072.4,18079.59,18034.8,10.77,sl_hit,-77.44,0.0,0.0,-77.44,-1.0,18034.8,1,DOL,0.0
51,US100.cash,short,1711031140,1711031159,18425.9,18433.8,18425.6,9.7,sl_hit,-76.63,0.0,0.0,-76.63,-1.0,0.0,0,DOL,0.0
52,US100.cash,long,1711113160,1711113460,18276.7,18265.53,18292.7,6.79,sl_hit,-75.84,0.0,0.0,-75.84,-1.0,18292.7,-1,DOL,0.0
53,US100.cash,long,1711372120,1711372300,18236.3,18225.67,18295.7,7.06,sl_hit,-75.05,0.0,0.0,-75.05,-1.0,18295.7,-1,DOL,0.0
54,US100.cash,short,1711458220,1711458440,18380.5,18385.86,18377.0,13.87,tp_hit,48.55,0.0,0.0,48.55,0.6529850746267948,18377.0,1,DOL,0.0
55,US100.cash,short,1711544740,1711544860,18302.1,18305.84,18244.3,20.04,sl_hit,-74.95,0.0,0.0,-74.95,-1.0,18303.6,1,DOL,0.0
56,US100.cash,short,1711635340,1711635400,18287.5,18305.87,18287.0,4.03,tp_hit,2.02,0.0,0.0,2.02,0.027218290691346094,18287.0,1,DOL,0.0
1,US100.cash,long,1711977100,1711977160,18288.3,18283.97,18340.3,23.08,sl_hit,-99.94,0.0,0.0,-99.94,-1.0,18340.3,-1,DOL,0.0
2,US100.cash,long,1712064220,1712064320,18076.4,18067.07,18240.6,10.6,sl_hit,-98.9,0.0,0.0,-98.9,-1.0,18240.6,-1,DOL,0.0
3,US100.cash,short,1712236580,1712237740,18344.1,18351.21,18260.2,13.78,sl_hit,-97.98,0.0,0.0,-97.98,-1.0,18260.2,1,DOL,0.0
4,US100.cash,short,1712322320,1712323940,17956.9,17982.27,17864.7,3.82,sl_hit,-96.91,0.0,0.0,-96.91,-1.0,17957.9,1,DOL,0.0
5,US100.cash,short,1712586640,1712586760,18159.8,18170.93,18149.5,8.63,sl_hit,-96.05,0.0,0.0,-96.05,-1.0,18149.5,1,DOL,0.0
6,US100.cash,short,1712668060,1712668480,18168.3,18177.2,18141.0,10.68,sl_hit,-95.05,0.0,0.0,-95.05,-1.0,18141.0,1,DOL,0.0
7,US100.cash,short,1712840680,1712840800,18074.55,18089.74,18041.15,6.2,sl_hit,-94.18,0.0,0.0,-94.18,-1.0,18041.15,1,DOL,0.0
8,US100.cash,long,1712928460,1712928500,18116.75,18108.17,18265.85,10.86,sl_hit,-93.18,0.0,0.0,-93.18,-1.0,18265.85,-1,DOL,0.0
9,US100.cash,short,1713187720,1713188020,18165.75,18177.56,18117.15,7.8100000000000005,tp_hit,379.57,0.0,0.0,379.57,4.11515664690882,18117.15,1,DOL,0.0
10,US100.cash,short,1713273820,1713275920,17718.65,17740.61,17630.25,4.37,sl_hit,-95.97,0.0,0.0,-95.97,-1.0,17727.55,1,DOL,0.0
11,US100.cash,short,1713360740,1713360760,17790.95,17807.33,17775.15,5.8,tp_hit,91.64,0.0,0.0,91.64,0.9645909645908601,0.0,0,DOL,0.0
12,US100.cash,long,1713446700,1713446980,17525.65,17517.1,17616.75,11.23,sl_hit,-96.02,0.0,0.0,-96.02,-1.0,17521.45,-1,DOL,0.0
13,US100.cash,short,1713532060,1713532360,17352.85,17374.83,17346.45,4.32,tp_hit,27.65,0.0,0.0,27.65,0.291173794358366,17346.45,1,DOL,0.0
14,US100.cash,short,1713792500,1713793300,17154.95,17163.94,17057.05,10.61,sl_hit,-95.38,0.0,0.0,-95.38,-1.0,17161.95,1,DOL,0.0
15,US100.cash,short,1713878500,1713878860,17292.65,17298.24,17261.65,16.9,sl_hit,-94.47,0.0,0.0,-94.47,-1.0,17261.65,1,DOL,0.0
16,US100.cash,short,1713965680,1713965760,17591.45,17614.85,17547.15,3.99,sl_hit,-93.37,0.0,0.0,-93.37,-1.0,17604.25,1,DOL,0.0
17,US100.cash,long,1714136680,1714136800,17614.85,17597.4,17666.55,5.3,sl_hit,-92.49,0.0,0.0,-92.49,-1.0,17600.95,-1,DOL,0.0
18,US100.cash,short,1714396780,1714397420,17789.35,17798.95,17746.75,9.54,sl_hit,-91.58,0.0,0.0,-91.58,-1.0,17794.55,1,DOL,0.0
19,US100.cash,long,1714483180,1714484560,17711.65,17688.36,17747.15,3.89,tp_hit,138.1,0.0,0.0,138.1,1.524259338771948,17747.15,-1,DOL,0.0
20,US100.cash,long,1714572920,1714572940,17330.45,17306.25,17335.45,3.8,tp_hit,19.0,0.0,0.0,19.0,0.20661157024792767,0.0,0,DOL,0.0
21,US100.cash,short,1714656800,1714657720,17455.45,17489.72,17404.35,2.69,tp_hit,137.46,0.0,0.0,137.46,1.4911000875401672,17486.25,1,DOL,0.0
22,US100.cash,short,1715000980,1715001100,17951.65,17955.99,17927.95,21.58,sl_hit,-93.66,0.0,0.0,-93.66,-1.0,17927.95,1,DOL,0.0
23,US100.cash,short,1715089100,1715089880,18114.05,18131.44,18090.95,5.32,tp_hit,122.89,0.0,0.0,122.89,1.3283496262219274,18090.95,1,DOL,0.0
24,US100.cash,long,1715173840,1715173960,17985.15,17979.11,18078.65,15.54,sl_hit,-93.86,0.0,0.0,-93.86,-1.0,18078.65,-1,DOL,0.0
25,US100.cash,short,1715260600,1715261620,18102.95,18112.48,18078.15,9.75,tp_hit,241.8,0.0,0.0,241.8,2.6023084994755825,18078.15,1,DOL,0.0
26,US100.cash,short,1715349400,1715349700,18239.15,18252.6,18193.65,7.09,tp_hit,322.6,0.0,0.0,322.6,3.38289962825352,18193.65,1,DOL,0.0
27,US100.cash,short,1715605480,1715606140,18223.95,18230.43,18205.05,15.21,sl_hit,-98.56,0.0,0.0,-98.56,-1.0,18205.05,1,DOL,0.0
28,US100.cash,short,1715778160,1715778640,18402.85,18415.22,18341.45,7.89,sl_hit,-97.6,0.0,0.0,-97.6,-1.0,18341.45,1,DOL,0.0
29,US100.cash,long,1715865160,1715865200,18588.45,18584.49,18607.25,24.41,sl_hit,-96.66,0.0,0.0,-96.66,-1.0,18607.25,-1,DOL,0.0
30,US100.cash,short,1715957380,1715957500,18589.45,18594.4,18582.75,19.32,tp_hit,129.44,0.0,0.0,129.44,1.3535353535353016,18582.75,1,DOL,0.0
31,US100.cash,long,1716211540,1716211600,18561.25,18555.85,18566.55,17.94,sl_hit,-96.88,0.0,0.0,-96.88,-1.0,18566.55,-1,DOL,0.0
32,US100.cash,long,1716298760,1716301840,18614.55,18590.91,18649.35,4.06,tp_hit,141.29,0.0,0.0,141.29,1.4720812182741172,18649.35,-1,DOL,0.0
33,US100.cash,short,1716385520,1716385960,18731.05,18742.81,18701.45,8.28,sl_hit,-97.37,0.0,0.0,-97.37,-1.0,18739.05,1,DOL,0.0
34,US100.cash,short,1716469460,1716471100,18928.25,18934.56,18892.15,15.28,tp_hit,551.61,0.0,0.0,551.61,5.721077654515222,18892.15,1,DOL,0.0
35,US100.cash,short,1716557320,1716557380,18688.35,18699.57,18675.65,9.08,sl_hit,-101.88,0.0,0.0,-101.88,-1.0,18675.65,1,DOL,0.0
36,US100.cash,short,1716821680,1716821920,18833.95,18841.69,18819.65,13.04,sl_hit,-100.93,0.0,0.0,-100.93,-1.0,18819.65,1,DOL,0.0
37,US100.cash,long,1716904360,1716905020,18790.55,18771.68,18817.05,5.29,tp_hit,140.19,0.0,0.0,140.19,1.4043455219926566,18817.05,-1,DOL,0.0
38,US100.cash,long,1716988540,1716988720,18710.05,18698.55,18736.15,8.81,sl_hit,-101.32,0.0,0.0,-101.32,-1.0,18736.15,-1,DOL,0.0
39,US100.cash,short,1717074340,1717074400,18697.85,18706.19,18676.55,12.02,sl_hit,-100.25,0.0,0.0,-100.25,-1.0,18676.55,1,DOL,0.0
40,US100.cash,short,1717420900,1717420960,18647.75,18657.19,18624.35,10.52,sl_hit,-99.31,0.0,0.0,-99.31,-1.0,18624.35,1,DOL,0.0
41,US100.cash,short,1717681660,1717681780,19041.15,19071.26,19021.15,3.26,tp_hit,65.2,0.0,0.0,65.2,0.6642311524411169,19064.25,1,DOL,0.0
42,US100.cash,long,1717767280,1717768460,18962.95,18933.58,19027.85,3.37,tp_hit,218.71,0.0,0.0,218.71,2.209737827715358,19027.85,-1,DOL,0.0
43,US100.cash,long,1718026240,1718026280,18948.15,18942.83,18955.25,19.0,tp_hit,134.9,0.0,0.0,134.9,1.334586466165213,18955.25,-1,DOL,0.0
44,US100.cash,long,1718112700,1718112760,19013.75,19008.21,19022.35,18.51,tp_hit,159.19,0.0,0.0,159.19,1.5523465703966046,19022.35,-1,DOL,0.0
45,US100.cash,short,1718197360,1718197400,19388.39,19392.27,19244.15,26.82,sl_hit,-104.06,0.0,0.0,-104.06,-1.0,19244.15,1,DOL,0.0
46,US100.cash,long,1718289340,1718289620,19532.89,19505.66,19567.49,3.7800000000000002,tp_hit,130.79,0.0,0.0,130.79,1.270657363202451,19567.49,-1,DOL,0.0
47,US100.cash,long,1718372000,1718372740,19537.19,19527.79,19583.39,11.1,tp_hit,512.82,0.0,0.0,512.82,4.9148936170224955,19583.39,-1,DOL,0.0
48,US100.cash,long,1718631820,1718632060,19660.25,19644.09,19728.69,6.77,sl_hit,-109.4,0.0,0.0,-109.4,-1.0,19655.59,-1,DOL,0.0
49,US100.cash,long,1718723020,1718723080,19882.95,19868.31,19946.15,7.4,sl_hit,-108.34,0.0,0.0,-108.34,-1.0,19872.55,-1,DOL,0.0
50,US100.cash,long,1718892100,1718892520,19938.65,19914.33,19950.75,4.41,sl_hit,-107.25,0.0,0.0,-107.25,-1.0,19950.75,-1,DOL,0.0
51,US100.cash,long,1718980280,1718980300,19672.05,19644.24,19679.85,3.82,tp_hit,29.8,0.0,0.0,29.8,0.28047464940668554,0.0,0,DOL,0.0
52,US100.cash,long,1719236560,1719236620,19632.65,19622.51,19647.05,10.5,sl_hit,-106.47,0.0,0.0,-106.47,-1.0,19647.05,-1,DOL,0.0
53,US100.cash,short,1719320980,1719321020,19571.25,19576.58,19550.55,19.78,sl_hit,-105.43,0.0,0.0,-105.43,-1.0,19550.55,1,DOL,0.0
54,US100.cash,long,1719407660,1719409600,19654.55,19636.49,19699.35,5.78,tp_hit,258.94,0.0,0.0,258.94,2.480620155039039,19699.35,-1,DOL,0.0
55,US100.cash,short,1719494140,1719495040,19739.15,19749.55,19715.75,10.28,sl_hit,-106.91,0.0,0.0,-106.91,-1.0,19715.75,1,DOL,0.0
56,US100.cash,long,1719580180,1719581440,19830.95,19809.1,19889.65,4.84,sl_hit,-105.75,0.0,0.0,-105.75,-1.0,19829.35,-1,DOL,0.0
1,US100.cash,long,1719843100,1719843160,19620.95,19596.59,19673.65,4.1,sl_hit,-99.88,0.0,0.0,-99.88,-1.0,19673.65,-1,DOL,0.0
2,US100.cash,short,1719928300,1719929560,19825.35,19860.37,19784.15,2.82,tp_hit,116.18,0.0,0.0,116.18,1.1764705882351962,19784.15,1,DOL,0.0
3,US100.cash,long,1720012360,1720012960,19978.85,19970.47,19989.25,11.95,sl_hit,-100.14,0.0,0.0,-100.14,-1.0,19989.25,-1,DOL,0.0
4,US100.cash,long,1720102000,1720102600,20153.05,20146.74,20159.95,15.72,sl_hit,-99.19,0.0,0.0,-99.19,-1.0,20159.95,-1,DOL,0.0
5,US100.cash,short,1720187120,1720187140,20248.85,20269.75,20233.95,4.6899999999999995,tp_hit,69.88,0.0,0.0,69.88,0.7129186602869273,0.0,0,DOL,0.0
6,US100.cash,short,1720445420,1720445560,20401.25,20409.0,20382.75,12.76,sl_hit,-98.89,0.0,0.0,-98.89,-1.0,20382.75,1,DOL,0.0
7,US100.cash,short,1720532560,1720534360,20509.55,20539.81,20476.85,3.23,sl_hit,-97.74,0.0,0.0,-97.74,-1.0,20522.05,1,DOL,0.0
8,US100.cash,short,1720617340,1720617380,20536.75,20541.36,20508.55,21.02,sl_hit,-96.9,0.0,0.0,-96.9,-1.0,20508.55,1,DOL,0.0
9,US100.cash,short,1720702960,1720703020,20662.15,20670.3,20628.85,11.77,sl_hit,-95.93,0.0,0.0,-95.93,-1.0,20666.65,1,DOL,0.0
10,US100.cash,short,1720789480,1720791040,20230.85,20246.64,20172.15,6.01,sl_hit,-94.9,0.0,0.0,-94.9,-1.0,20239.25,1,DOL,0.0
11,US100.cash,short,1721051320,1721052280,20416.95,20464.17,20340.95,1.99,sl_hit,-93.97,0.0,0.0,-93.97,-1.0,20427.75,1,DOL,0.0
12,US100.cash,short,1721136760,1721136880,20441.35,20453.8,20338.65,7.47,sl_hit,-93.0,0.0,0.0,-93.0,-1.0,20452.25,1,DOL,0.0
13,US100.cash,long,1721222260,1721222740,20078.25,20071.19,20106.55,13.04,sl_hit,-92.06,0.0,0.0,-92.06,-1.0,20106.55,-1,DOL,0.0
14,US100.cash,short,1721308300,1721310880,19965.45,19971.24,19832.35,15.75,tp_hit,2096.33,0.0,0.0,2096.33,22.98791018997964,19969.65,1,DOL,0.0
15,US100.cash,short,1721654860,1721654980,19769.45,19777.77,19662.75,13.48,sl_hit,-112.15,0.0,0.0,-112.15,-1.0,19662.75,1,DOL,0.0
16,US100.cash,short,1721740720,1721741200,19799.25,19810.19,19792.05,10.15,tp_hit,73.08,0.0,0.0,73.08,0.6581352833639479,19792.05,1,DOL,0.0
17,US100.cash,short,1722261520,1722261640,19201.15,19215.15,19183.35,7.98,sl_hit,-111.72,0.0,0.0,-111.72,-1.0,19183.35,1,DOL,0.0
18,US100.cash,short,1722346060,1722346120,19129.35,19134.36,19107.95,22.09,sl_hit,-110.67,0.0,0.0,-110.67,-1.0,19107.95,1,DOL,0.0
19,US100.cash,short,1722433240,1722433259,19225.25,19249.8,19102.95,4.46,sl_hit,-109.49,0.0,0.0,-109.49,-1.0,0.0,0,DOL,0.0
20,US100.cash,long,1722523220,1722523420,19293.15,19262.07,19363.55,3.49,sl_hit,-108.47,0.0,0.0,-108.47,-1.0,19363.55,-1,DOL,0.0
21,US100.cash,long,1722605620,1722605860,18443.05,18417.78,18513.95,4.25,tp_hit,301.33,0.0,0.0,301.33,2.805698456667995,18513.95,-1,DOL,0.0
22,US100.cash,long,1722949420,1722950840,17976.05,17949.96,18015.65,4.23,tp_hit,167.51,0.0,0.0,167.51,1.5178229206593317,18015.65,-1,DOL,0.0
23,US100.cash,short,1723036600,1723037260,18310.85,18332.38,18303.75,5.2,sl_hit,-111.96,0.0,0.0,-111.96,-1.0,18303.75,1,DOL,0.0
24,US100.cash,long,1723212040,1723212280,18327.25,18303.1,18387.05,4.59,tp_hit,274.48,0.0,0.0,274.48,2.476190476190297,18387.05,-1,DOL,0.0
25,US100.cash,long,1723470760,1723470880,18471.35,18432.21,18481.25,2.9,tp_hit,28.71,0.0,0.0,28.71,0.25293817066943286,18481.25,-1,DOL,0.0
26,US100.cash,short,1723554940,1723555300,18712.65,18727.32,18538.75,7.76,sl_hit,-113.84,0.0,0.0,-113.84,-1.0,18718.75,1,DOL,0.0
27,US100.cash,short,1723641020,1723641940,19047.75,19057.26,18966.15,11.87,sl_hit,-112.88,0.0,0.0,-112.88,-1.0,19053.65,1,DOL,0.0
28,US100.cash,short,1723727300,1723728640,19244.55,19258.05,19122.35,8.27,sl_hit,-111.65,0.0,0.0,-111.65,-1.0,19122.35,1,DOL,0.0
29,US100.cash,long,1723814740,1723815040,19392.05,19374.68,19477.95,6.37,sl_hit,-110.65,0.0,0.0,-110.65,-1.0,19477.95,-1,DOL,0.0
30,US100.cash,long,1724159980,1724160040,19726.45,19721.13,19749.25,20.58,sl_hit,-109.49,0.0,0.0,-109.49,-1.0,19749.25,-1,DOL,0.0
31,US100.cash,short,1724245960,1724246680,19755.75,19764.48,19750.55,12.42,sl_hit,-108.43,0.0,0.0,-108.43,-1.0,19750.55,1,DOL,0.0
32,US100.cash,short,1724333380,1724333440,19909.05,19915.56,19854.65,16.49,sl_hit,-107.35,0.0,0.0,-107.35,-1.0,19854.65,1,DOL,0.0
33,US100.cash,short,1724421640,1724421659,19691.55,19700.97,19635.55,11.27,sl_hit,-106.16,0.0,0.0,-106.16,-1.0,0.0,0,DOL,0.0
34,US100.cash,long,1724679340,1724679940,19699.85,19666.67,19770.05,3.17,sl_hit,-105.18,0.0,0.0,-105.18,-1.0,19676.25,-1,DOL,0.0
35,US100.cash,long,1724764220,1724765920,19424.05,19403.34,19471.25,5.02,sl_hit,-103.96,0.0,0.0,-103.96,-1.0,19471.25,-1,DOL,0.0
36,US100.cash,long,1724854960,1724855080,19484.35,19445.14,19509.75,2.62,tp_hit,66.55,0.0,0.0,66.55,0.6477939301199189,19509.75,-1,DOL,0.0
37,US100.cash,short,1724936800,1724936960,19408.65,19418.27,19362.45,10.78,sl_hit,-103.7,0.0,0.0,-103.7,-1.0,19362.45,1,DOL,0.0
38,US100.cash,short,1725025780,1725025840,19514.35,19536.65,19485.65,4.6,tp_hit,132.02,0.0,0.0,132.02,1.2869955156947688,19485.65,1,DOL,0.0
39,US100.cash,short,1725283940,1725283960,19578.25,19587.78,19576.75,10.92,tp_hit,16.38,0.0,0.0,16.38,0.1573976915005439,0.0,0,DOL,0.0
40,US100.cash,long,1725368980,1725369700,19428.05,19414.07,19446.85,7.45,tp_hit,140.06,0.0,0.0,140.06,1.3447782546494893,19446.85,-1,DOL,0.0
41,US100.cash,short,1725458560,1725459040,18844.85,18949.39,18776.35,1.01,sl_hit,-105.59,0.0,0.0,-105.59,-1.0,18933.05,1,DOL,0.0
42,US100.cash,long,1725541540,1725543520,18854.85,18836.74,18957.55,5.77,tp_hit,592.58,0.0,0.0,592.58,5.670900055219109,18840.15,-1,DOL,0.0
43,US100.cash,short,1725627880,1725628100,18880.75,18916.77,18873.35,3.06,sl_hit,-110.22,0.0,0.0,-110.22,-1.0,18873.35,1,DOL,0.0
44,US100.cash,short,1725890140,1725890320,18634.65,18658.96,18589.85,4.49,sl_hit,-109.15,0.0,0.0,-109.15,-1.0,18589.85,1,DOL,0.0
