trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,swept_level,sweep_side,target_mode,fill_depth
1,XAUUSD,long,1743517720,1743522160,3127.38,3123.54,3138.16,0.26,sl_hit,-99.84,-0.57,0.0,-100.41,-1.0,3124.07,-1,DOL,0.0
2,XAUUSD,long,1743686440,1743689660,3063.7,3053.67,3116.42,0.09,tp_hit,474.48,-0.2,0.0,474.28000000000003,5.256231306081913,3140.62,-1,DOL,0.0
3,XAUUSD,long,1743773560,1743773740,3073.54,3069.57,3078.4,0.26,sl_hit,-103.22,-0.56,0.0,-103.78,-1.0,3087.0,-1,DOL,0.0
4,XAUUSD,long,1744033600,1744034200,3007.07,3001.58,3013.32,0.18,tp_hit,112.5,-0.38,0.0,112.12,1.1384335154826468,3013.32,-1,DOL,0.0
5,XAUUSD,short,1744206520,1744208200,3070.74,3078.37,3052.23,0.13,sl_hit,-99.19,-0.28,0.0,-99.47,-1.0,3011.01,1,DOL,0.0
6,XAUUSD,short,1744291660,1744291720,3133.3,3136.97,3131.68,0.28,tp_hit,45.36,-0.61,0.0,44.75,0.44141689373311016,3126.32,1,DOL,0.0
7,XAUUSD,short,1744377340,1744378360,3234.87,3237.28,3227.19,0.42,sl_hit,-101.22,-0.95,0.0,-102.17,-1.0,3220.07,1,DOL,0.0
8,XAUUSD,long,1744635920,1744636180,3208.86,3204.56,3215.26,0.23,sl_hit,-98.9,-0.52,0.0,-99.42,-1.0,3215.26,-1,DOL,0.0
9,XAUUSD,long,1744725820,1744725880,3216.95,3211.3,3217.3,0.17,tp_hit,5.95,-0.38,0.0,5.57,0.06194690265493563,3217.3,-1,DOL,0.0
10,XAUUSD,short,1744811500,1744811800,3309.37,3311.51,3286.15,0.47,sl_hit,-100.58,-1.09,0.0,-101.67,-1.0,3281.59,1,DOL,0.0
11,XAUUSD,long,1744897720,1744897900,3323.31,3319.74,3333.12,0.28,sl_hit,-99.96,-0.65,0.0,-100.61,-1.0,3320.67,-1,DOL,0.0
12,XAUUSD,short,1745241220,1745243620,3421.65,3424.71,3396.03,0.32,sl_hit,-97.92,-0.77,0.0,-98.69,-1.0,3385.26,1,DOL,0.0
13,XAUUSD,long,1745413960,1745414240,3309.37,3304.14,3325.97,0.18,sl_hit,-94.14,-0.42,0.0,-94.56,-1.0,3329.09,-1,DOL,0.0
14,XAUUSD,long,1745503060,1745503480,3315.61,3312.18,3341.54,0.28,sl_hit,-96.04,-0.65,0.0,-96.69000000000001,-1.0,3314.57,-1,DOL,0.0
15,XAUUSD,long,1745586460,1745587060,3283.15,3276.23,3287.47,0.13,sl_hit,-89.96,-0.3,0.0,-90.25999999999999,-1.0,3322.59,-1,DOL,0.0
16,XAUUSD,short,1745846800,1745847140,3298.27,3301.17,3296.47,0.32,sl_hit,-92.8,-0.74,0.0,-93.53999999999999,-1.0,3296.47,1,DOL,0.0
17,XAUUSD,long,1745935000,1745935240,3305.35,3299.24,3307.88,0.15,tp_hit,37.95,-0.35,0.0,37.6,0.41407528641573604,3308.83,-1,DOL,0.0
18,XAUUSD,long,1746023620,1746023639,3298.17,3295.76,3303.56,0.39,sl_hit,-93.99,-0.9,0.0,-94.89,-1.0,0.0,0,DOL,0.0
19,XAUUSD,long,1746104680,1746104740,3224.47,3222.72,3226.05,0.53,tp_hit,83.74,-1.2,0.0,82.53999999999999,0.9028571428573612,3228.87,-1,DOL,0.0
20,XAUUSD,long,1746193660,1746196360,3247.02,3239.02,3258.56,0.11,tp_hit,126.94,-0.25,0.0,126.69,1.4424999999999955,3246.34,-1,DOL,0.0
21,XAUUSD,short,1746451340,1746453940,3319.08,3321.16,3282.94,0.46,sl_hit,-95.68,-1.07,0.0,-96.75,-1.0,3272.32,1,DOL,0.0
22,XAUUSD,short,1746536720,1746537220,3392.57,3394.78,3386.77,0.42,sl_hit,-92.82,-1.0,0.0,-93.82,-1.0,3386.77,1,DOL,0.0
23,XAUUSD,long,1746709540,1746709960,3357.65,3354.32,3361.82,0.28,tp_hit,116.76,-0.66,0.0,116.10000000000001,1.2522522522523014,3373.79,-1,DOL,0.0
24,XAUUSD,short,1746796720,1746796880,3333.51,3336.66,3332.18,0.3,sl_hit,-94.5,-0.7,0.0,-95.2,-1.0,3322.96,1,DOL,0.0
25,XAUUSD,long,1747056640,1747056980,3236.01,3232.21,3258.8,0.24,sl_hit,-91.2,-0.54,0.0,-91.74000000000001,-1.0,3258.8,-1,DOL,0.0
26,XAUUSD,short,1747142320,1747147480,3239.45,3247.19,3215.8,0.12,sl_hit,-92.88,-0.27,0.0,-93.14999999999999,-1.0,3243.28,1,DOL,0.0
27,XAUUSD,long,1747232320,1747240940,3182.91,3174.22,3224.24,0.1,sl_hit,-86.9,-0.22,0.0,-87.12,-1.0,3226.12,-1,DOL,0.0
28,XAUUSD,short,1747314820,1747314880,3191.56,3194.95,3164.06,0.27,sl_hit,-91.53,-0.6,0.0,-92.13,-1.0,3164.06,1,DOL,0.0
29,XAUUSD,short,1747746220,1747746340,3239.22,3243.05,3235.81,0.23,tp_hit,78.43,-0.52,0.0,77.91000000000001,0.8903394255873406,3232.57,1,DOL,0.0
30,XAUUSD,short,1748012140,1748021200,3358.3,3365.06,3334.35,0.13,sl_hit,-87.88,-0.31,0.0,-88.19,-1.0,3308.86,1,DOL,0.0
31,XAUUSD,long,1748350960,1748351000,3296.21,3293.43,3328.28,0.32,sl_hit,-88.96,-0.74,0.0,-89.69999999999999,-1.0,3331.69,-1,DOL,0.0
32,XAUUSD,short,1748524280,1748525060,3314.95,3318.74,3289.24,0.23,sl_hit,-87.17,-0.53,0.0,-87.7,-1.0,3280.13,1,DOL,0.0
33,XAUUSD,short,1748610460,1748610580,3304.32,3306.02,3304.19,0.52,sl_hit,-88.4,-1.2,0.0,-89.60000000000001,-1.0,3304.19,1,DOL,0.0
34,XAUUSD,short,1748869700,1748870920,3355.1,3357.81,3323.66,0.32,sl_hit,-86.72,-0.75,0.0,-87.47,-1.0,3314.92,1,DOL,0.0
35,XAUUSD,long,1748956300,1748957440,3359.73,3356.87,3367.26,0.3,sl_hit,-85.8,-0.7,0.0,-86.5,-1.0,3359.57,-1,DOL,0.0
