trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,swept_level,sweep_side,target_mode,fill_depth
1,XAUUSD,long,1767366500,1767366700,4346.01,4338.61,4397.44,0.13,sl_hit,-96.2,-0.39,0.0,-96.59,-1.0,4344.54,-1,DOL,0.0
2,XAUUSD,short,1767626240,1767627520,4451.05,4456.26,4437.93,0.19,tp_hit,249.28,-0.59,0.0,248.69,2.51823416506714,4437.93,1,DOL,0.0
3,XAUUSD,short,1767710440,1767710480,4479.78,4483.29,4475.61,0.28,sl_hit,-98.28,-0.88,0.0,-99.16,-1.0,4475.61,1,DOL,0.0
4,XAUUSD,long,1767796360,1767796660,4447.11,4440.38,4495.56,0.14,sl_hit,-94.22,-0.44,0.0,-94.66,-1.0,4441.68,-1,DOL,0.0
5,XAUUSD,long,1767881740,1767890020,4422.19,4418.57,4460.32,0.27,tp_hit,1029.51,-0.84,0.0,1028.67,10.533149171271067,4419.87,-1,DOL,0.0
6,XAUUSD,short,1767967660,1767967840,4486.34,4488.55,4477.57,0.49,sl_hit,-108.29,-1.54,0.0,-109.83000000000001,-1.0,4477.57,1,DOL,0.0
7,XAUUSD,short,1768230400,1768230560,4614.39,4617.48,4599.23,0.35,sl_hit,-108.15,-1.13,0.0,-109.28,-1.0,4599.23,1,DOL,0.0
8,XAUUSD,short,1768313500,1768313540,4614.49,4617.05,4599.76,0.42,sl_hit,-107.52,-1.3599999999999999,0.0,-108.88,-1.0,4599.76,1,DOL,0.0
9,XAUUSD,long,1768403320,1768403360,4608.85,4602.2,4639.52,0.16,sl_hit,-106.4,-0.52,0.0,-106.92,-1.0,4606.13,-1,DOL,0.0
10,XAUUSD,short,1768490680,1768493500,4615.66,4618.41,4581.12,0.38,sl_hit,-104.5,-1.23,0.0,-105.73,-1.0,4617.53,1,DOL,0.0
11,XAUUSD,short,1768575560,1768575800,4609.68,4615.0,4591.27,0.19,sl_hit,-101.08,-0.61,0.0,-101.69,-1.0,4612.02,1,DOL,0.0
12,XAUUSD,short,1768918660,1768919320,4743.32,4748.97,4737.4,0.18,sl_hit,-101.7,-0.6,0.0,-102.3,-1.0,4737.4,1,DOL,0.0
13,XAUUSD,short,1769004260,1769024200,4875.23,4881.3,4783.53,0.16,tp_hit,1467.2,-0.54,0.0,1466.66,15.107084019767788,4877.06,1,DOL,0.0
14,XAUUSD,short,1769092660,1769093380,4839.45,4848.28,4838.55,0.13,tp_hit,11.7,-0.44,0.0,11.26,0.10192525481309667,4838.55,1,DOL,0.0
15,XAUUSD,short,1769443960,1769444260,5099.49,5105.45,5098.21,0.19,tp_hit,24.32,-0.68,0.0,23.64,0.21476510067109691,5098.21,1,DOL,0.0
16,XAUUSD,short,1769531180,1769544220,5098.11,5103.48,5018.96,0.21,sl_hit,-112.77,-0.75,0.0,-113.52,-1.0,5100.74,1,DOL,0.0
17,XAUUSD,long,1769701240,1769720400,5168.31,5094.52,5445.11,0.01,forced_eod,225.86,-0.04,0.0,225.82000000000002,3.060848353435422,5445.11,-1,DOL,0.0
18,XAUUSD,short,1770043600,1770066000,4753.84,4797.04,4484.39,0.02,forced_eod,201.9,-0.07,0.0,201.83,2.336805555555561,4784.62,1,DOL,0.0
19,XAUUSD,long,1770216340,1770218560,4987.11,4964.83,5091.83,0.05,sl_hit,-111.4,-0.17,0.0,-111.57000000000001,-1.0,4985.38,-1,DOL,0.0
