trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,swept_level,sweep_side,target_mode,fill_depth
1,XAUUSD,long,1704208600,1704209860,2065.69,2061.88,2073.3,0.26,sl_hit,-99.06,-0.38,0.0,-99.44,-1.0,2063.97,-1,RR,0.0
2,XAUUSD,long,1704296320,1704297680,2033.82,2031.59,2038.27,0.44,sl_hit,-98.12,-0.63,0.0,-98.75,-1.0,2054.19,-1,RR,0.0
3,XAUUSD,long,1704378520,1704379600,2040.1,2037.3,2045.71,0.34,sl_hit,-95.2,-0.48,0.0,-95.68,-1.0,2040.09,-1,RR,0.0
4,XAUUSD,short,1704466240,1704466800,2046.56,2049.38,2040.91,0.34,sl_hit,-95.88,-0.49,0.0,-96.36999999999999,-1.0,2048.18,1,RR,0.0
5,XAUUSD,long,1704722540,1704722740,2019.44,2018.76,2020.8,1.41,tp_hit,191.76,-1.99,0.0,189.76999999999998,1.9999999999996656,2026.6,-1,RR,0.0
6,XAUUSD,short,1704809020,1704809320,2038.33,2039.55,2035.89,0.8,sl_hit,-97.6,-1.1400000000000001,0.0,-98.74,-1.0,2038.2,1,RR,0.0
7,XAUUSD,long,1704982840,1704989740,2028.88,2024.79,2037.06,0.23,sl_hit,-94.07,-0.33,0.0,-94.39999999999999,-1.0,2026.99,-1,RR,0.0
8,XAUUSD,short,1705068400,1705068820,2057.47,2059.36,2053.69,0.5,tp_hit,189.0,-0.72,0.0,188.28,1.9999999999995188,2040.08,1,RR,0.0
9,XAUUSD,long,1705414160,1705416700,2039.52,2037.1,2044.36,0.4,sl_hit,-96.8,-0.57,0.0,-97.36999999999999,-1.0,2038.64,-1,RR,0.0
10,XAUUSD,long,1705500940,1705503340,2018.83,2015.56,2025.37,0.29,sl_hit,-94.83,-0.41,0.0,-95.24,-1.0,2017.82,-1,RR,0.0
11,XAUUSD,short,1705590340,1705591840,2013.18,2014.74,2010.06,0.61,sl_hit,-95.16,-0.86,0.0,-96.02,-1.0,2014.08,1,RR,0.0
12,XAUUSD,short,1705673080,1705674100,2034.74,2035.83,2032.56,0.87,tp_hit,189.66,-1.24,0.0,188.42,2.0000000000002087,2030.82,1,RR,0.0
13,XAUUSD,short,1706192680,1706194480,2022.28,2024.76,2017.32,0.39,sl_hit,-96.72,-0.55,0.0,-97.27,-1.0,2018.22,1,RR,0.0
14,XAUUSD,short,1706537140,1706538340,2035.95,2037.4,2033.05,0.66,tp_hit,191.4,-0.94,0.0,190.46,2.0,2033.81,1,RR,0.0
15,XAUUSD,short,1706625220,1706626840,2047.71,2048.76,2045.61,0.93,tp_hit,195.3,-1.33,0.0,193.97,1.9999999999997835,2040.32,1,RR,0.0
