trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,swept_level,sweep_side,target_mode,fill_depth
1,XAUUSD,long,1704205060,1704205300,2065.68,2064.76,2067.53,1.08,sl_hit,-99.36,-1.56,0.0,-100.92,-1.0,2071.83,-1,RR,0.0
2,XAUUSD,long,1704296320,1704297680,2033.82,2031.59,2038.27,0.44,sl_hit,-98.12,-0.63,0.0,-98.75,-1.0,2059.52,-1,RR,0.0
3,XAUUSD,long,1704378520,1704379600,2040.1,2037.3,2045.71,0.34,sl_hit,-95.2,-0.48,0.0,-95.68,-1.0,2040.09,-1,RR,0.0
4,XAUUSD,long,1704722540,1704722740,2019.44,2018.76,2020.8,1.42,tp_hit,193.12,-2.01,0.0,191.11,1.9999999999996656,2035.03,-1,RR,0.0
5,XAUUSD,short,1704809020,1704809320,2038.33,2039.55,2035.89,0.81,sl_hit,-98.82,-1.16,0.0,-99.97999999999999,-1.0,2035.79,1,RR,0.0
6,XAUUSD,long,1704982840,1704989740,2028.88,2024.79,2037.06,0.23,sl_hit,-94.07,-0.33,0.0,-94.39999999999999,-1.0,2030.19,-1,RR,0.0
7,XAUUSD,short,1705068400,1705068820,2057.47,2059.36,2053.69,0.51,tp_hit,192.78,-0.73,0.0,192.05,1.9999999999995188,2035.65,1,RR,0.0
8,XAUUSD,long,1705329220,1705329280,2052.62,2052.05,2053.76,1.73,sl_hit,-98.61,-2.49,0.0,-101.1,-1.0,2052.91,-1,RR,0.0
9,XAUUSD,long,1705414160,1705416700,2039.52,2037.1,2044.36,0.4,sl_hit,-96.8,-0.57,0.0,-97.36999999999999,-1.0,2048.34,-1,RR,0.0
10,XAUUSD,long,1705500940,1705503340,2018.83,2015.56,2025.37,0.29,sl_hit,-94.83,-0.41,0.0,-95.24,-1.0,2023.3,-1,RR,0.0
11,XAUUSD,short,1705587640,1705589260,2011.22,2013.24,2007.17,0.47,sl_hit,-94.94,-0.66,0.0,-95.6,-1.0,2012.11,1,RR,0.0
12,XAUUSD,short,1705673080,1705674100,2034.74,2035.83,2032.56,0.87,tp_hit,189.66,-1.24,0.0,188.42,2.0000000000002087,2025.53,1,RR,0.0
13,XAUUSD,long,1705933600,1705933720,2021.79,2020.76,2023.84,0.94,sl_hit,-96.82,-1.33,0.0,-98.14999999999999,-1.0,2024.64,-1,RR,0.0
14,XAUUSD,long,1706018620,1706018740,2025.73,2024.59,2028.02,0.83,sl_hit,-94.62,-1.18,0.0,-95.80000000000001,-1.0,2027.06,-1,RR,0.0
15,XAUUSD,short,1706192680,1706194480,2022.28,2024.76,2017.32,0.38,sl_hit,-94.24,-0.54,0.0,-94.78,-1.0,2017.31,1,RR,0.0
16,XAUUSD,short,1706537140,1706538340,2035.95,2037.4,2033.05,0.64,tp_hit,185.6,-0.91,0.0,184.69,2.0,2027.55,1,RR,0.0
17,XAUUSD,short,1706625220,1706626840,2047.71,2048.76,2045.61,0.91,tp_hit,191.1,-1.3,0.0,189.79999999999998,1.9999999999997835,2033.95,1,RR,0.0
18,XAUUSD,short,1706710780,1706711260,2043.62,2044.52,2041.82,1.08,sl_hit,-97.2,-1.55,0.0,-98.75,-1.0,2037.15,1,RR,0.0
19,XAUUSD,short,1706799100,1706799640,2048.04,2051.03,2042.07,0.32,tp_hit,191.04,-0.46,0.0,190.57999999999998,1.9966555183945,2044.18,1,RR,0.0
20,XAUUSD,long,1706884100,1706899240,2031.09,2027.47,2038.33,0.27,tp_hit,195.48,-0.39,0.0,195.09,2.0000000000000626,2051.99,-1,RR,0.0
21,XAUUSD,short,1707228760,1707229540,2029.14,2030.49,2026.45,0.74,sl_hit,-99.9,-1.05,0.0,-100.95,-1.0,2028.53,1,RR,0.0
22,XAUUSD,short,1707315520,1707316240,2036.8,2038.13,2034.13,0.74,tp_hit,197.58,-1.05,0.0,196.53,2.0075187969921315,2035.79,1,RR,0.0
23,XAUUSD,long,1707488500,1707488620,2026.83,2025.22,2030.05,0.62,sl_hit,-99.82,-0.88,0.0,-100.69999999999999,-1.0,2032.08,-1,RR,0.0
24,XAUUSD,long,1707747220,1707747340,2019.4,2018.1,2022.01,0.77,sl_hit,-100.1,-1.09,0.0,-101.19,-1.0,2021.85,-1,RR,0.0
25,XAUUSD,long,1707834260,1707834400,2001.25,1999.94,2003.88,0.75,tp_hit,197.25,-1.05,0.0,196.2,2.0076335877864264,2016.85,-1,RR,0.0
26,XAUUSD,long,1707923320,1707923500,1987.21,1984.96,1991.71,0.45,sl_hit,-101.25,-0.63,0.0,-101.88,-1.0,1988.73,-1,RR,0.0
27,XAUUSD,short,1708007120,1708007440,2003.41,2004.92,2000.4,0.66,sl_hit,-99.66,-0.93,0.0,-100.59,-1.0,1994.38,1,RR,0.0
